articles,bhd,million,share,year,price,said,ha,wa,market,bank,stock,thi,billion,group,compani,maybank,research,malaysia,profit,also,expect,hold,earn,us,sen,invest,trade,net,time,say,index,per,buy,high,s,financi,last,growth,may,point,analyst,higher,valu,target,new,klci,would,low,end,quarter,report,revenu,lower,investor,rate,valuat,due,first,level,close,oper,today,manag,2014,base,note,gain,oil,edg,includ,month,rose,current,fbm,2015,fund,cimb,posit,sell,remain,sinc,kuala,like,product,industri,daili,could,fundament,asset,lumpur,call,develop,increas,strong,recent,one,busi,move,top,capit
395,6,0,2,0,0,2,0,4,3,1,4,0,2,0,0,1,0,1,0,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,4,1,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,2,0,1,0,3,0,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
396,17,29,7,2,1,5,2,2,5,3,2,0,3,2,2,1,0,2,2,2,1,2,1,1,6,1,1,5,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,2,1,2,2,2,0,0,1,2,0,1,2,0,9,0,2,2,0,0,6,0,1,2,0,1,0,1,0,0,1,0,1,1,2,0,0,1,0,4,0,1,2,0,2,1,0,0,1,1,0,0,0
397,26,1,3,1,0,4,0,2,1,6,2,0,0,2,0,0,2,2,0,0,1,4,0,5,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,5,0,1,0,0,0,4,2,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,2,0,2,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0
398,1,3,1,2,0,3,2,1,2,1,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
399,5,2,2,1,6,0,0,3,1,0,4,4,2,1,0,1,1,2,3,1,2,1,0,1,0,2,4,2,3,0,10,0,5,11,0,2,0,0,3,6,0,2,2,1,0,3,2,12,3,1,2,1,0,2,0,0,0,1,4,2,0,0,0,5,0,0,1,0,2,0,3,2,1,1,0,0,0,1,0,0,3,0,2,0,1,5,0,0,0,0,0,0,1,1,5,0,0,3,0,0
400,1,0,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
401,2,6,6,1,2,3,0,1,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,1,5,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0
402,1,5,2,3,2,6,3,2,3,1,1,2,3,0,1,4,2,1,3,3,1,0,3,0,2,2,2,3,0,0,0,0,3,0,2,3,0,1,1,0,0,1,0,2,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,1,5,0,1,0,0,0,0,1,0
403,7,0,3,1,11,0,1,1,1,1,4,5,2,2,0,2,1,0,0,1,2,3,0,1,0,3,4,1,3,0,11,2,2,10,0,1,0,1,2,6,3,2,2,3,0,3,3,8,1,0,2,1,3,0,0,0,1,1,5,2,1,0,0,6,0,0,0,0,1,0,2,1,2,1,0,1,1,0,10,1,4,0,1,0,0,6,0,1,0,0,4,0,1,0,5,0,0,4,0,0
404,8,0,3,1,0,4,0,6,5,2,5,0,2,1,1,2,1,2,1,0,1,1,0,1,0,1,2,2,0,0,1,0,0,0,3,0,2,0,0,3,1,0,0,0,0,5,1,0,1,0,1,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
405,5,0,2,0,1,1,0,4,1,4,6,0,2,1,0,2,0,2,0,0,2,1,0,7,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,1,0,0,5,0,1,1,1,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0
406,11,11,13,0,1,1,4,2,2,0,4,2,0,0,1,1,2,3,0,2,1,4,1,0,12,1,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,1,0,2,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
407,0,1,4,0,0,5,0,6,4,1,1,0,4,0,0,1,1,2,0,1,1,0,0,3,2,0,3,0,1,0,3,0,1,0,1,0,0,0,0,4,0,1,2,0,0,4,3,2,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,3,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
408,17,15,16,4,28,0,8,7,3,6,5,6,3,8,2,1,6,5,8,1,5,11,10,3,6,4,6,8,8,0,0,16,11,2,0,1,2,8,3,0,0,9,8,20,4,0,2,0,0,2,0,3,3,1,5,10,0,2,0,0,4,0,4,2,8,1,0,1,1,2,1,0,1,0,1,0,1,1,1,6,3,0,3,3,3,0,3,0,3,0,1,1,4,6,0,0,3,1,6,1
409,2,6,8,0,0,6,0,4,2,2,2,0,0,0,0,2,2,0,0,0,0,2,0,2,4,0,6,0,0,0,4,0,4,4,2,0,4,0,0,4,0,2,2,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,2,0,2,6,2,2,0,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0
410,7,1,3,0,0,7,0,1,3,0,1,1,2,0,0,1,1,1,0,1,1,2,0,2,0,0,3,0,0,0,4,1,0,2,1,0,3,2,1,2,1,0,1,1,1,3,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,4,2,0,0,0,3,0,0,0,2,4,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0
411,7,1,3,0,0,7,0,1,3,0,1,1,2,0,0,1,1,1,0,1,1,2,0,2,0,0,3,0,0,0,4,1,0,2,1,0,3,2,1,2,1,0,1,1,1,3,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,4,2,0,0,0,3,0,0,0,2,4,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0
412,2,1,0,0,0,7,0,0,2,0,0,1,0,0,0,1,1,0,0,1,1,2,0,2,0,0,2,0,0,0,3,0,0,3,0,0,3,1,1,2,1,0,0,1,1,4,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,2,3,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
413,2,1,0,0,0,7,0,0,2,0,0,1,0,0,0,1,2,0,0,1,1,2,0,2,0,0,2,0,0,0,3,0,0,3,0,0,3,1,1,2,1,0,0,1,1,4,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,2,3,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
414,2,2,3,4,1,6,0,1,0,2,0,1,0,0,0,3,3,0,0,0,1,0,0,0,7,2,1,0,1,0,0,2,0,0,0,1,0,0,1,0,3,0,0,1,0,0,1,1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1
415,2,2,3,4,1,6,0,1,0,2,0,1,0,0,0,3,3,0,0,0,1,0,0,0,7,2,1,0,1,0,0,2,0,0,0,1,0,0,1,0,3,0,0,1,0,0,1,1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1
416,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,2,1,2,0,0,4,1,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
418,1,1,2,6,6,0,4,0,1,0,2,4,0,2,0,1,1,0,1,0,4,1,6,1,0,0,0,1,2,0,0,1,1,0,0,2,1,1,1,1,0,1,0,2,3,0,0,0,0,1,0,0,3,0,2,0,0,1,0,0,1,1,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,8,0
419,2,1,3,0,0,5,0,4,4,6,3,0,2,0,1,2,1,0,0,1,1,1,0,0,4,0,2,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,1,2,0,0,4,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,1,0,0
420,2,1,3,0,0,5,0,4,4,6,3,0,2,0,1,2,1,0,0,1,1,1,0,0,4,0,2,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,1,2,0,0,4,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,1,0,0
421,2,2,0,3,4,11,4,0,3,0,1,3,8,3,0,2,2,1,0,0,0,1,0,3,0,0,0,1,2,1,0,0,2,0,0,4,0,0,2,0,2,0,3,2,2,0,0,0,1,1,1,2,0,1,0,0,0,2,4,1,4,1,0,3,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,2,0,0,0,1,4,0,0,0,0,2,0,0,0,1
422,8,0,1,0,1,1,0,2,3,4,5,0,2,2,0,0,1,1,0,0,2,2,0,1,0,0,1,0,1,0,1,0,0,1,2,0,0,0,1,0,2,2,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,2,1,0,0,0,1,0,2,0,0,1,0,0,1,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
423,4,0,0,6,1,13,6,0,0,3,4,5,3,1,6,0,0,2,4,1,0,0,0,1,1,5,1,0,1,2,1,0,2,1,0,0,2,0,4,1,4,0,0,1,0,0,0,0,1,0,3,1,0,4,2,0,0,0,1,2,3,2,2,0,0,0,3,0,0,0,5,2,1,0,1,2,0,0,2,0,3,4,0,0,0,0,1,0,0,4,0,0,0,0,0,2,5,0,0,1
424,3,0,1,5,1,10,6,0,0,1,2,5,3,1,5,0,0,2,4,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,2,0,4,1,3,0,0,1,0,0,0,0,0,0,3,1,0,2,2,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,5,0,1,0,1,0,0,0,2,0,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,2,5,0,0,0
425,3,0,1,5,1,10,6,0,0,1,2,5,3,1,5,0,0,2,4,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,2,0,4,1,3,0,0,1,0,0,0,0,0,0,3,1,0,2,2,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,5,0,1,0,1,0,0,0,2,0,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,2,5,0,0,0
426,1,3,0,1,2,0,2,1,0,0,1,2,2,0,0,1,1,0,2,2,1,1,1,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,4,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,4,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
427,0,13,4,8,24,0,8,17,4,1,4,5,4,1,4,0,4,1,15,3,11,2,8,1,0,2,3,5,8,0,0,9,2,0,0,1,2,11,14,1,1,7,4,6,1,0,4,2,0,2,1,16,7,1,4,1,2,1,3,0,8,0,4,4,2,2,1,1,1,1,0,3,3,0,1,0,0,2,1,3,1,0,1,5,0,1,1,0,0,0,0,0,5,5,1,0,5,1,0,1
428,1,2,3,2,4,5,2,0,0,1,2,0,2,0,3,1,1,0,2,3,2,0,1,0,1,1,1,1,0,0,0,1,2,0,5,1,1,1,1,0,2,1,0,1,4,0,1,0,1,3,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,2,0,0,0,1,0,0,1,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
429,3,2,1,1,3,0,0,2,0,0,1,3,0,0,1,1,1,2,2,1,1,0,2,0,3,0,0,3,3,0,0,3,2,1,0,2,0,4,4,1,0,2,0,2,1,0,0,0,1,2,0,0,1,0,1,0,0,3,0,0,0,0,1,4,0,0,2,0,1,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
430,3,6,5,3,3,2,1,1,0,3,1,2,1,0,3,1,0,7,1,0,1,2,0,0,0,3,3,0,1,0,0,4,0,0,2,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0
431,3,1,2,0,2,4,2,3,0,1,1,0,3,0,1,9,1,4,0,2,0,0,0,0,3,1,1,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,2,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,7,0,1,0,1,0,0,2,0
432,1,6,4,1,1,7,0,3,1,1,0,2,0,0,0,3,1,0,2,2,2,1,2,0,7,1,1,5,0,0,0,0,2,0,2,1,0,0,1,0,2,1,0,1,0,0,1,0,1,4,1,0,2,0,0,0,3,1,0,0,2,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
433,0,10,5,5,13,0,6,16,6,0,1,8,7,3,8,0,3,0,12,4,12,3,14,2,0,3,1,8,5,0,0,7,1,2,0,2,1,7,10,1,1,9,10,5,8,0,0,0,0,2,1,7,5,1,9,3,6,1,0,0,3,0,4,6,11,0,2,0,1,2,1,0,5,0,0,0,0,3,0,3,5,0,2,3,0,0,0,0,1,0,0,3,6,0,3,1,0,0,1,1
434,3,0,4,0,0,1,0,2,0,2,2,1,0,0,5,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,2
435,3,0,4,0,0,1,0,2,0,2,2,1,0,0,5,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,2
436,0,3,6,0,0,5,0,3,1,1,1,0,2,0,0,1,1,0,2,0,2,1,0,1,2,0,3,0,0,0,2,0,2,3,1,0,0,0,3,4,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
437,0,3,6,0,0,5,0,3,1,1,1,0,2,0,0,1,1,0,2,0,2,1,0,1,2,0,3,0,0,0,2,0,2,3,1,0,0,0,3,4,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
438,2,2,2,3,4,3,1,2,1,1,1,0,2,2,1,2,3,1,2,0,0,2,3,0,1,1,0,2,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,1,3,1,1,2,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
439,2,2,2,3,4,3,1,2,1,1,1,0,2,2,1,2,3,1,2,0,0,2,3,0,1,1,0,2,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,1,3,1,1,2,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
440,2,1,2,0,3,5,1,1,0,1,0,0,0,1,0,2,4,0,2,1,3,0,4,0,1,1,1,2,0,0,0,0,3,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,4,1,0,2,0,0,0,1,2,0,0,1,1,1,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,3,0,1,0,0,1,0
441,13,1,0,4,0,5,2,0,1,20,1,3,9,0,2,2,0,5,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,2,1,0,2,0,1,3,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0
442,7,4,13,7,11,1,7,2,3,1,3,3,2,1,1,2,8,2,2,1,1,5,2,0,2,4,1,1,2,6,0,3,1,0,0,4,5,1,2,1,7,1,2,3,1,0,1,0,4,2,1,2,2,3,0,0,3,1,2,2,8,0,0,2,3,2,1,0,1,0,0,0,3,0,0,1,2,0,0,2,4,0,1,0,1,0,1,0,0,0,3,0,0,1,0,1,1,2,0,2
443,7,4,13,7,11,1,7,2,3,1,3,3,2,1,1,2,8,2,2,1,1,5,2,0,2,4,1,1,2,6,0,3,1,0,0,4,5,1,2,1,7,1,2,3,1,0,1,0,4,2,1,2,2,3,0,0,3,1,2,2,8,0,0,2,3,2,1,0,1,0,0,0,3,0,0,1,2,0,0,2,4,0,1,0,1,0,1,0,0,0,3,0,0,1,0,1,1,2,0,2
444,5,6,0,1,2,8,9,0,2,1,1,3,0,1,4,10,7,2,7,0,8,2,2,0,2,1,0,4,0,3,0,0,2,1,0,1,1,2,4,0,0,2,0,1,1,0,0,0,0,2,1,0,1,1,1,0,2,1,0,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
445,5,6,0,1,2,8,9,0,2,1,1,3,0,1,4,10,7,2,7,0,8,2,2,0,2,1,0,4,0,3,0,0,2,1,0,1,1,2,4,0,0,2,0,1,1,0,0,0,0,2,1,0,1,1,1,0,2,1,0,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
446,1,1,2,2,1,5,5,0,1,2,1,2,3,1,0,2,4,0,0,2,0,1,1,6,1,3,0,0,0,0,0,1,0,0,1,0,1,1,2,0,2,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,1
447,1,1,2,2,1,5,5,0,1,2,1,2,3,1,0,2,4,0,0,2,0,1,1,6,1,3,0,0,0,0,0,1,0,0,1,0,1,1,2,0,2,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,1
448,6,2,3,1,2,1,1,2,1,0,6,2,2,2,0,1,1,1,3,0,1,3,1,3,0,2,4,1,3,0,7,0,2,12,0,3,0,0,7,5,0,1,1,1,0,3,0,8,2,2,2,0,1,3,0,0,3,2,5,2,3,0,0,6,0,0,1,0,1,0,1,2,2,1,0,0,0,0,8,2,2,1,2,0,1,7,0,0,0,1,1,0,3,1,4,2,1,4,1,0
449,2,4,4,1,3,1,2,1,0,1,3,0,3,2,1,1,3,0,1,1,0,2,0,0,5,1,1,2,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,1,1,3,1,3,4,0,0,0,1,2,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2
450,2,4,4,1,3,1,2,1,0,1,3,0,3,2,1,1,3,0,1,1,0,2,0,0,5,1,1,2,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,1,1,3,1,3,4,0,0,0,1,2,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2
451,2,1,3,2,2,5,1,2,0,1,2,1,2,0,1,2,0,0,2,1,0,1,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,3,1,2,0,1,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1
452,2,1,3,2,2,5,1,2,0,1,2,1,2,0,1,2,0,0,2,1,0,1,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,3,1,2,0,1,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1
453,1,1,0,1,3,0,0,2,1,0,2,1,0,0,0,1,1,0,1,0,1,1,3,0,0,0,0,2,1,0,0,0,0,0,0,2,1,2,3,0,0,0,1,3,2,0,0,1,2,2,0,2,1,0,0,1,3,2,1,0,1,0,0,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
454,7,0,1,0,0,2,0,4,1,2,2,1,2,1,0,0,1,2,0,1,1,1,0,2,0,1,1,0,0,0,3,0,1,0,7,0,0,0,1,2,1,0,0,0,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,1,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0
455,7,0,1,0,0,2,0,4,1,2,2,1,2,1,0,0,1,2,0,1,1,1,0,2,0,1,1,0,0,0,3,0,1,0,7,0,0,0,1,2,1,0,0,0,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,1,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0
456,3,0,0,0,1,4,1,0,0,1,1,1,0,1,0,7,5,0,0,1,0,1,4,0,0,1,0,0,0,1,0,0,2,1,2,0,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,4,0,2,1,0,0,0,1,0
457,1,2,1,1,2,0,2,0,0,0,1,1,0,1,0,1,1,0,1,1,2,1,1,1,0,0,0,1,0,0,0,2,1,0,0,2,0,2,2,0,0,1,0,1,2,0,0,2,3,1,0,0,2,2,1,0,1,3,0,0,3,0,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
458,9,25,8,17,3,11,4,7,5,15,2,5,3,7,6,1,1,1,9,5,4,3,0,1,3,1,2,8,1,0,0,3,0,0,7,3,0,1,2,0,0,4,0,0,2,0,1,0,5,15,1,6,2,0,0,0,2,6,1,2,1,5,0,9,2,0,0,0,0,1,1,5,1,0,2,2,6,1,1,2,0,1,0,2,2,0,0,0,2,1,0,2,5,0,1,1,1,0,0,6
459,9,25,8,17,3,11,4,7,5,15,2,5,3,7,6,1,1,1,9,5,4,3,0,1,3,1,2,8,1,0,0,3,0,0,7,3,0,1,2,0,0,4,0,0,2,0,1,0,5,15,1,6,2,0,0,0,2,6,1,2,1,5,0,9,2,0,0,0,0,1,1,5,1,0,2,2,6,1,1,2,0,1,0,2,2,0,0,0,2,1,0,2,5,0,1,1,1,0,0,6
460,2,6,2,9,3,0,3,5,0,1,1,4,5,0,5,3,4,1,4,2,1,1,2,2,1,1,0,4,1,5,0,2,1,2,0,2,1,0,0,0,3,0,1,2,0,0,2,0,2,1,0,0,0,0,0,0,0,4,1,1,0,0,0,2,1,1,1,4,1,1,5,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
461,2,6,2,9,3,0,3,5,0,1,1,4,5,0,5,3,4,1,4,2,1,1,2,2,1,1,0,4,1,5,0,2,1,2,0,2,1,0,0,0,3,0,1,2,0,0,2,0,2,1,0,0,0,0,0,0,0,4,1,1,0,0,0,2,1,1,1,4,1,1,5,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
