articles,bhd,million,share,year,price,said,ha,wa,market,bank,stock,thi,billion,group,compani,maybank,research,malaysia,profit,also,expect,hold,earn,us,sen,invest,trade,net,time,say,index,per,buy,high,s,financi,last,growth,may,point,analyst,higher,valu,target,new,klci,would,low,end,quarter,report,revenu,lower,investor,rate,valuat,due,first,level,close,oper,today,manag,2014,base,note,gain,oil,edg,includ,month,rose,current,fbm,2015,fund,cimb,posit,sell,remain,sinc,kuala,like,product,industri,daili,could,fundament,asset,lumpur,call,develop,increas,strong,recent,one,busi,move,top,capit
347,26,36,16,20,3,13,3,11,5,5,2,2,30,4,2,3,1,6,22,5,2,2,1,0,19,0,1,22,0,0,0,12,0,0,3,4,0,2,0,0,0,18,1,0,7,0,0,0,11,17,3,20,7,0,0,4,15,0,0,0,11,3,0,12,3,1,0,2,1,2,2,4,0,0,1,0,0,1,0,2,0,1,0,4,2,0,1,4,0,1,0,3,10,1,0,0,1,0,0,0
348,13,0,3,3,1,2,0,2,0,2,5,0,8,1,0,3,0,1,2,0,1,1,1,1,3,1,1,1,1,0,3,0,0,1,1,1,0,0,0,2,0,6,2,0,1,2,0,2,3,1,3,1,1,2,1,0,0,0,0,2,0,10,0,1,1,1,2,0,1,1,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
349,1,4,2,4,0,4,0,2,2,3,2,1,10,2,1,8,1,1,4,1,0,0,0,0,3,0,1,6,0,0,0,0,0,0,4,0,0,0,0,0,0,7,1,0,0,1,0,0,1,2,0,2,0,0,0,3,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,6,1,0,0,0,0,0,0
350,1,4,3,4,5,0,7,1,0,1,3,1,0,0,3,1,3,1,2,2,0,0,1,4,1,1,1,2,0,1,0,1,0,1,0,0,5,4,0,0,2,0,1,1,2,0,0,0,1,1,1,2,0,0,0,3,2,1,0,2,0,0,1,1,3,3,0,0,2,0,1,0,1,0,1,0,0,1,0,2,1,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,1
351,7,1,1,5,2,0,1,3,2,29,2,6,3,3,2,1,4,2,3,1,4,2,9,0,0,2,0,3,0,6,0,0,0,0,0,1,4,6,2,0,3,0,1,0,2,0,0,0,2,1,0,1,2,0,4,8,1,1,0,0,3,0,5,1,5,6,1,2,3,1,1,0,3,0,2,1,6,0,0,2,0,0,1,2,3,0,1,8,4,0,0,0,3,1,1,0,1,0,1,2
352,1,5,4,3,1,3,0,2,0,1,2,2,0,2,1,3,1,0,4,1,0,0,0,0,2,1,0,3,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,1,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,1
353,6,0,3,1,7,0,0,2,2,1,5,5,2,0,0,1,1,1,2,0,1,0,1,2,0,2,4,0,4,0,9,1,5,7,0,2,0,1,0,5,0,2,1,1,0,3,1,9,3,3,1,1,1,1,0,0,1,1,6,2,0,0,0,5,0,0,0,1,1,0,2,1,1,3,4,0,0,2,1,3,3,0,1,0,1,6,1,1,0,0,1,0,0,0,3,0,0,6,0,0
354,0,5,0,3,13,1,7,2,1,0,2,5,0,0,0,1,3,7,0,1,2,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,2,0,2,0,2,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4,2,0,1,1,0,0,2,0,1,1,15,1,1,3,0,3,0,2,0,0,0,0,1,1,0,0,6,3,0,3,3,0,0,0,1,3,1,2,0,0,1,0,0
355,6,11,13,9,11,0,6,5,4,1,1,6,20,4,5,0,1,2,4,3,4,2,6,2,1,0,0,1,4,3,0,5,0,2,0,4,3,1,3,1,5,0,4,2,3,0,8,1,2,1,1,1,1,0,2,6,5,2,1,3,3,0,7,3,5,4,0,0,3,2,0,0,1,0,2,2,0,0,0,0,2,0,1,0,0,0,3,3,0,0,0,1,1,2,0,2,0,1,0,1
356,9,0,0,0,1,11,1,6,0,10,1,2,5,1,2,0,1,3,1,3,1,1,0,7,0,4,1,0,9,1,0,2,0,0,0,7,1,0,1,0,1,0,1,0,0,0,2,0,0,0,5,0,0,1,0,6,0,1,2,0,0,0,1,2,3,0,0,1,3,0,0,0,1,0,2,5,1,0,0,0,1,1,1,0,2,2,0,4,0,1,1,1,0,2,2,2,1,0,0,3
357,2,0,2,2,8,0,5,1,4,1,1,3,0,2,0,1,0,3,0,2,4,1,0,1,0,1,1,0,2,13,0,1,2,2,0,0,3,0,5,1,2,0,0,1,1,0,1,1,1,0,0,0,3,1,0,0,1,1,0,1,2,1,1,1,0,2,0,2,1,1,2,0,1,0,2,0,0,2,1,0,0,0,3,0,2,0,1,0,0,0,6,0,0,1,0,6,4,1,0,0
358,4,0,0,3,1,3,7,7,1,23,1,3,4,9,4,8,1,4,5,4,0,1,3,1,0,1,0,3,0,7,0,0,0,1,0,2,6,1,2,2,2,1,1,1,2,0,8,0,2,2,0,3,1,0,0,6,0,1,0,2,2,0,1,1,2,2,0,0,3,2,1,0,2,0,1,1,13,0,0,0,2,0,4,1,3,0,2,5,1,0,3,0,0,1,1,4,6,6,1,1
359,3,0,11,2,7,0,10,8,3,5,2,5,2,3,0,1,0,3,0,2,1,1,0,0,0,0,0,0,4,8,0,3,0,0,0,2,4,1,5,3,0,0,2,0,1,0,2,0,0,1,2,1,0,0,2,2,1,4,0,0,4,1,0,1,3,0,0,0,4,1,0,0,6,0,1,0,16,0,0,0,4,0,0,0,4,0,6,0,2,0,1,0,0,2,1,4,0,1,1,1
360,6,0,3,0,4,1,0,4,4,1,3,0,2,0,0,2,0,0,2,1,0,1,0,3,0,1,3,0,0,0,1,0,0,3,1,0,1,0,0,2,0,2,0,0,0,2,1,1,0,0,2,0,0,1,0,0,1,0,2,1,0,1,0,0,1,1,3,4,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
361,2,3,0,3,3,5,1,1,1,0,1,5,0,1,2,2,4,3,2,3,2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,5,0,1,3,2,2,1,1,0,1,0,4,0,0,0,0,0,2,0,1,5,3,2,1,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,3,4,5,0,1,0,0,0,1,0,2,0,0,0,0
362,13,5,18,3,9,8,1,3,9,2,6,3,3,5,4,1,4,3,2,5,0,4,1,1,0,2,3,9,1,0,0,0,2,1,0,3,4,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,13,2,1,2,2,1,0,1,1,2,1,0,3,3,0,2,0,0,0,2,19,4,0,1,0,3,1,0,0,0,2,1,14,0,1,0,0,2,1,2,0,1,0,1,2
363,10,0,4,1,0,2,1,4,2,3,2,0,2,2,0,1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,4,0,0,1,1,2,1,1,1,5,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,1,0,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
364,6,4,3,1,6,0,1,1,1,1,4,3,2,2,0,1,1,0,6,0,2,2,1,3,0,2,3,0,3,0,10,1,2,12,0,3,0,0,3,5,0,0,2,1,0,3,1,11,3,1,1,1,2,2,0,0,1,1,6,2,0,0,0,3,0,0,0,3,1,0,1,2,1,1,4,0,0,3,6,3,3,0,2,0,1,6,0,0,0,0,2,0,0,2,4,0,0,3,0,0
365,14,1,0,1,3,14,0,3,0,0,3,3,4,1,3,4,5,8,1,4,3,1,2,2,0,1,2,5,0,0,0,1,1,2,0,2,1,1,1,0,0,0,2,2,0,0,0,1,0,1,0,1,2,6,3,16,1,2,0,0,1,0,0,2,2,1,0,2,2,2,0,0,0,0,7,3,0,3,1,1,5,1,2,1,0,1,0,15,0,1,0,0,0,1,0,0,0,0,0,0
366,3,3,0,4,0,1,2,4,3,5,1,0,1,1,1,7,1,3,1,2,0,1,0,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,2,0,0,0,0,3,2
367,3,2,3,2,6,8,1,4,3,1,1,0,4,0,0,1,0,0,0,0,2,0,2,4,3,1,4,2,1,0,0,1,5,1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,1,1,0,0,2,0,2,0,0,1,1,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0
368,8,0,3,6,6,9,4,1,4,5,3,6,0,1,3,1,7,1,3,6,5,2,2,2,0,3,0,1,0,1,0,0,2,0,0,5,2,1,3,0,9,2,2,1,3,0,5,0,0,2,5,0,2,0,2,7,2,1,1,0,2,0,0,1,2,1,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,2,3,4,6,0,1,3,0,1,3,1,0,1,0,2,0
369,6,0,4,0,8,0,3,1,2,1,5,5,2,1,0,1,1,0,1,1,1,0,0,2,0,2,3,0,2,0,10,1,5,11,0,2,0,0,5,5,0,2,2,2,0,4,1,11,2,1,1,1,0,1,0,0,2,1,5,2,0,0,0,3,0,0,2,2,1,0,1,3,1,1,2,0,0,2,0,2,3,0,1,0,0,5,0,1,1,0,0,0,1,0,4,0,0,3,0,0
370,4,1,4,3,6,1,1,2,5,1,3,2,1,1,4,1,2,0,1,3,1,0,4,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,2,0,1,2,0,0,0,0,0,2,1,0,0,0,1,3,0,1,0,2,1,2,1,2,2,4,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,1,2,0,0,0,1,3,0,1,0,3,2,1,0,1,0,0,1,0
371,15,1,3,0,3,3,0,6,3,5,3,1,2,2,0,2,0,2,0,1,1,2,0,6,14,1,6,0,0,0,0,1,0,1,1,0,1,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,2,1,2,6,0,0,0,1,0,6,0,1,0,1,0,1,0,0,1,1,0,1,0,1,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
372,4,1,5,2,2,3,0,3,0,6,1,1,0,2,1,10,2,1,1,1,0,1,1,1,2,1,3,0,0,0,0,1,0,2,2,1,0,2,1,2,0,0,1,2,0,0,6,0,0,0,2,0,0,0,2,3,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,1,1,0,0,0,4,0,0,0,0,1,1,0,0,0,1,3,0,1,1,0,0,1,0,0,2,1,1,1
373,24,0,2,0,0,6,0,1,5,1,4,0,1,2,1,0,3,2,0,0,1,1,0,3,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,4,0,3,0,0,1,4,0,0,0,0,2,0,1,3,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,3,2,1,0,3,0,1,0,1,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,2,1
374,2,4,6,3,3,4,2,1,3,0,1,4,0,1,5,1,7,0,2,5,0,0,0,0,2,1,1,0,3,0,0,2,1,1,0,4,2,2,1,1,2,1,1,0,2,0,0,1,2,3,2,1,2,1,0,6,1,3,0,1,1,0,3,2,2,3,0,1,3,0,1,0,1,0,1,3,0,0,0,0,1,1,0,1,0,2,0,3,0,1,1,0,0,1,1,1,1,1,0,0
375,14,0,1,0,1,1,1,4,0,5,6,0,2,2,0,0,0,2,0,3,0,1,0,2,2,0,2,0,1,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,1,1,1,0,2,0,1,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
376,26,2,3,0,2,5,0,5,4,3,3,0,1,4,0,0,1,0,0,0,0,3,0,1,2,0,2,0,0,0,4,0,0,0,2,1,0,1,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,0,4,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,1,3
377,4,0,4,3,3,13,1,13,1,10,1,3,0,11,2,0,1,2,1,4,1,1,0,0,3,0,0,0,2,2,0,0,0,0,0,5,3,0,0,1,0,0,1,1,1,0,7,0,2,0,3,0,0,0,1,5,1,4,0,1,0,0,1,1,3,0,1,1,6,2,3,0,2,0,1,0,11,0,0,1,2,1,0,1,1,4,2,4,0,1,3,0,0,2,0,1,1,1,0,1
378,2,0,3,4,4,0,4,1,0,1,7,3,1,1,1,3,5,1,0,1,2,1,0,0,0,2,1,0,0,2,0,0,1,2,0,0,0,0,3,1,2,0,2,1,0,1,2,0,0,0,0,2,0,1,0,0,1,1,0,3,0,0,0,1,1,2,3,0,1,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
379,4,0,0,2,1,8,1,8,3,7,1,6,6,0,2,14,1,1,2,4,1,0,1,0,1,2,0,2,2,1,0,0,0,1,0,8,0,0,1,0,1,0,0,1,1,0,4,0,0,0,3,0,0,1,0,0,5,2,0,0,1,0,1,3,1,0,0,0,5,0,0,0,0,0,5,2,4,1,0,1,0,1,1,0,0,5,4,0,0,1,0,1,0,1,0,0,0,0,0,1
380,2,0,0,6,0,8,6,0,3,4,1,7,0,0,1,0,5,0,0,2,6,1,4,0,0,0,0,3,3,0,0,0,0,2,0,4,3,16,1,0,3,2,1,0,1,0,0,0,0,1,0,1,3,0,3,1,4,2,0,0,0,0,0,6,0,2,0,0,2,0,0,0,2,0,8,2,1,0,0,2,0,1,2,1,2,2,1,0,0,1,1,1,0,0,2,2,3,0,1,1
381,4,1,0,30,11,1,9,7,8,38,3,15,5,21,2,14,4,3,11,5,9,3,5,2,0,7,1,7,1,11,0,1,3,4,0,3,15,5,2,2,11,9,0,2,2,0,4,2,4,10,4,0,4,2,12,0,2,5,3,2,5,0,0,1,0,1,1,0,3,1,5,2,2,0,3,6,18,2,1,4,4,0,1,0,4,0,5,1,6,0,5,2,6,1,2,4,1,1,2,4
