articles,bhd,million,share,said,year,price,thi,cimb,market,wa,bank,stock,group,ha,research,billion,malaysia,compani,hold,profit,also,sen,expect,net,invest,s,earn,trade,last,us,target,financi,growth,time,per,say,higher,note,manag,valu,valuat,would,analyst,may,today,first,investor,base,point,end,revenu,lower,edg,new,quarter,rate,fund,oil,close,index,due,kuala,increas,lumpur,report,rose,oper,fundament,asset,product,2014,cost,could,remain,week,strong,howev,month,continu,high,one,busi,2015,klci,posit,two,industri,sale,buy,project,current,declin,gain,like,maintain,call,sector,30,develop,capit
228,2,8,1,2,6,2,2,1,3,3,29,4,6,4,2,0,1,1,18,5,0,0,1,3,2,0,4,1,0,0,0,5,0,5,0,13,3,1,1,3,2,0,3,3,2,2,1,0,0,2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,1,0,0,0,0,1,3,1,0,1,1,0,0,0,0,3,0,0,1,0,0,2,0,1,0,1,2,3,0,1
229,3,0,6,2,17,5,11,1,8,15,16,2,16,5,0,0,1,4,11,12,6,0,3,1,4,0,2,1,5,5,3,3,0,10,1,4,0,0,3,9,0,11,0,1,1,2,0,3,0,0,3,0,1,1,1,2,4,0,2,0,2,0,0,0,0,0,2,0,9,1,0,2,0,0,0,3,0,2,5,1,10,6,0,0,4,4,2,3,3,5,0,1,0,5,1,0,0,2,0,3
230,0,4,0,0,3,3,2,2,0,0,0,0,4,2,1,2,0,1,4,2,0,0,1,0,1,0,2,1,0,0,2,0,1,0,0,5,1,0,0,2,0,0,4,0,0,1,0,0,0,0,4,2,0,1,0,0,1,0,1,0,0,0,0,0,4,0,7,0,0,0,0,3,3,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
231,5,3,4,2,1,0,2,3,0,1,0,3,1,0,0,5,3,0,1,2,0,2,0,2,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,3,1,0,0,0,0,2,0,0,0,1,0,0,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
232,0,1,2,0,1,3,1,2,1,3,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,3,0,0,0,2,4,2,0,0,1,0,0,2,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
233,4,0,1,7,0,4,1,1,0,1,0,6,2,0,5,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0
234,0,1,5,0,0,3,0,3,0,0,0,1,0,1,1,0,0,1,1,2,1,0,1,2,6,1,7,0,0,0,2,0,4,0,2,4,3,0,0,2,1,2,4,1,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,5,0,0,1,1,0,0,1,2,3,0,0,0,1,2,0,0,2,0
235,0,4,0,0,2,1,2,3,1,0,0,1,0,1,2,0,0,0,1,0,1,0,5,0,0,0,2,1,0,0,1,0,2,0,0,1,2,1,0,0,0,1,3,1,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
236,7,0,1,2,1,1,1,2,1,4,3,3,2,0,1,3,1,0,2,0,0,0,3,0,0,2,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,1,1,0,0,0,0,0,1,2,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
237,1,2,3,6,0,2,0,4,0,4,0,4,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
238,4,2,0,0,12,1,15,0,26,6,2,3,1,6,8,4,8,3,1,0,5,0,5,3,21,0,0,4,3,21,0,11,13,4,0,26,5,1,28,4,0,5,4,3,0,2,39,1,0,4,0,3,0,2,0,8,44,0,4,10,1,0,1,0,5,0,0,1,7,4,1,9,3,0,0,0,6,4,1,3,7,0,0,0,1,3,3,3,3,0,2,1,4,4,0,0,1,0,2,5
239,13,11,14,0,7,2,1,1,2,0,2,2,2,6,1,2,3,2,10,1,1,1,0,1,0,0,0,0,4,0,0,2,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,2,1,2,0,0,1,1,0,2,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0
240,2,2,2,5,0,1,2,3,1,10,0,2,1,1,4,0,0,0,1,2,1,1,0,0,0,0,0,2,1,0,1,0,0,2,0,1,0,2,4,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0
241,8,0,1,9,0,1,2,1,14,3,0,5,1,0,5,0,3,1,3,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,0,0,1,0,1,2,0,0,1,1,1,0,3,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,3,2,0,1,0,4,0,0,2,0,2,0,0,0,0,0,0
242,1,14,1,0,10,5,6,2,0,7,0,8,3,6,2,1,0,0,1,4,2,3,0,2,0,0,4,1,2,0,3,1,0,3,2,5,1,5,2,0,0,1,1,0,0,1,2,0,0,1,5,0,3,1,1,5,3,0,2,0,2,0,0,0,1,2,1,0,0,0,2,2,4,0,0,0,0,3,0,1,3,3,1,1,0,0,0,2,1,5,2,1,0,1,0,0,2,2,0,2
243,4,3,3,4,1,1,0,4,1,1,1,1,1,1,0,1,1,0,1,1,1,3,2,2,1,4,2,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,5,1,2,1,0,2,0,0
244,1,3,2,3,0,1,1,2,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
245,1,1,0,2,1,7,6,1,1,3,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
246,1,5,1,11,9,14,4,1,0,2,0,1,0,3,3,0,4,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,8,1,1,2,0,0,0,0,4,3,0,1,0,0,2,1,0,0,0,1,0,0,0,28,1,0,1,1,0,1,1,1,0,0,0,8,0,0,2,1,0,5,0,7,0,0,0,0,0,0,3,2,2,0,0,0,3,4,1,0,2,1,1,0,0,0
247,1,0,1,6,2,6,6,3,1,4,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
248,1,7,0,0,10,2,7,2,21,4,2,1,1,5,0,3,6,1,0,0,2,0,2,0,1,0,0,25,3,2,0,0,4,4,3,11,2,1,0,2,0,0,0,0,1,0,3,1,0,0,0,0,0,3,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,1,1,3,0,0,1,4,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0
249,2,2,2,0,1,2,1,2,2,2,9,2,6,2,1,0,0,0,1,0,4,0,2,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,3,0
250,1,0,6,0,3,5,1,1,0,0,4,1,0,3,3,0,2,0,1,1,2,1,0,2,3,0,2,0,3,0,3,0,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,1,0,0,0,2,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,1,0,1,0,0
251,7,3,2,0,0,1,3,1,8,4,0,2,1,3,0,4,2,0,3,0,2,0,0,4,2,0,1,4,7,7,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,11,0,0,7,0,1,2,0,0,0,0,0,0,0,3,20,0,1,0,2,0,0,0,0,8,0,2,1,0,2,0,0,6,0,1,0,0,0,0,0,0
252,0,0,1,0,0,1,0,3,0,0,0,1,0,1,1,1,1,0,0,0,0,0,3,1,0,0,2,2,0,0,1,0,5,0,2,1,1,1,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,3,1,2,2,0,1,1,0,1,0,1,1,2,0,0,0
253,2,3,7,2,0,1,0,1,1,0,1,2,0,1,1,0,1,0,1,0,0,5,0,0,1,3,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
254,1,12,1,2,3,3,4,4,3,3,0,2,7,1,2,0,1,0,0,2,2,3,0,3,0,6,1,2,0,0,2,0,1,3,0,0,1,4,1,0,1,2,0,0,1,2,0,1,0,4,3,0,0,6,1,0,1,0,0,0,0,1,1,1,0,3,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0
255,1,3,2,0,0,2,0,1,0,1,0,2,0,1,1,0,1,0,0,4,1,6,0,3,0,0,1,0,0,0,2,0,0,2,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0
256,3,8,1,0,0,1,1,1,1,0,0,1,2,4,1,0,1,1,2,3,0,2,1,2,0,0,2,0,0,1,2,0,1,1,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,3,4,0,2,1,0,0,0,0,0,3,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,1,2,1,1,2,0,0
257,11,1,8,9,5,4,4,3,6,8,1,4,3,8,3,4,8,5,6,4,3,3,0,4,1,0,0,3,9,2,1,5,0,4,0,0,0,4,3,1,1,2,3,3,0,1,2,1,2,4,0,2,4,2,1,1,5,2,3,0,0,1,0,1,1,0,0,3,0,0,0,1,3,0,1,0,2,6,0,2,4,1,0,1,5,1,0,1,3,0,0,0,0,0,0,1,0,0,1,0
258,2,1,2,3,0,2,0,1,0,2,0,0,0,0,2,0,0,1,3,1,0,6,1,2,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
259,2,3,3,5,5,1,1,4,1,2,1,1,0,0,1,2,0,0,1,4,1,1,0,4,1,7,4,1,0,0,1,1,0,0,1,0,2,2,0,1,0,0,1,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
260,19,0,1,0,0,0,13,1,4,4,1,1,4,4,6,0,16,10,5,0,3,0,0,0,12,0,0,0,0,0,0,4,0,4,0,5,0,1,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,3,2,0,0,1,0,2,2,0,0,0,1,0,0,0,1,11,0,3,0
261,3,1,3,5,1,3,1,3,0,4,1,0,0,2,1,1,0,0,2,0,2,2,1,0,1,4,1,2,2,0,2,0,0,1,0,0,1,1,2,0,0,0,2,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0
262,3,1,3,5,1,1,1,1,2,0,1,1,2,4,2,1,2,2,0,0,1,1,0,0,1,5,1,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
263,2,8,3,0,4,9,3,6,1,2,0,2,0,6,12,0,2,5,2,2,2,1,5,2,0,0,1,1,2,0,8,1,0,0,2,8,1,0,1,0,0,1,1,2,0,1,2,0,0,1,2,0,1,0,1,0,0,0,1,0,1,0,2,0,5,2,1,0,0,0,0,2,2,0,2,0,1,0,1,2,3,4,0,0,2,1,0,0,0,4,1,0,0,1,1,1,0,0,0,0
264,2,4,3,8,4,5,4,2,0,3,2,6,3,1,1,2,0,0,2,1,1,0,0,2,2,0,1,2,0,0,2,2,0,5,1,1,2,1,0,3,3,0,2,1,0,3,0,2,0,2,1,1,1,3,1,0,0,2,2,0,2,1,0,1,0,0,0,0,1,4,0,3,0,0,1,0,1,2,0,1,0,0,1,0,1,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0
265,1,2,2,3,0,6,2,2,0,2,2,2,0,1,8,0,0,0,2,1,2,1,1,1,3,0,4,0,1,5,0,2,1,1,0,0,0,1,0,0,2,0,5,0,0,3,0,0,0,1,1,1,2,0,6,6,1,0,0,0,1,1,1,1,2,0,1,0,0,1,0,1,1,3,0,0,1,0,0,0,2,0,0,0,3,0,0,0,2,0,2,1,0,0,0,3,1,1,0,0
266,1,2,3,3,1,4,0,5,0,0,1,2,2,0,2,3,0,0,1,2,0,1,1,3,0,2,2,4,3,0,1,0,0,3,0,0,2,1,0,2,0,1,0,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,1,0,1,0,1,0,1,1,1,3,0,0,0,0,0,0,0,1,0,3,2,1,1,0,1,0,1,0,2
267,2,2,0,0,2,1,5,1,0,3,0,2,1,4,1,0,2,1,0,1,3,2,3,2,0,0,2,0,0,0,1,3,0,0,2,0,6,0,2,0,0,0,0,1,0,2,0,0,0,2,1,1,1,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,2
268,7,0,0,9,2,0,2,1,7,1,1,3,2,0,4,0,1,1,3,1,0,0,2,0,2,1,0,2,3,3,0,0,1,1,0,0,3,1,0,0,0,2,0,1,2,1,2,1,2,1,0,1,0,1,1,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,3,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
269,2,3,3,0,1,1,1,1,0,0,0,1,0,2,1,0,0,4,1,0,0,0,1,0,0,0,2,0,0,0,2,2,0,1,2,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0
270,2,2,5,6,3,1,0,5,1,2,1,2,0,0,0,8,1,1,0,5,0,1,0,5,1,4,1,1,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,1,2,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
271,4,6,2,0,15,7,7,1,6,3,0,2,15,12,1,5,2,8,1,4,2,3,6,5,2,0,7,2,3,6,1,2,5,1,2,9,0,0,2,0,0,2,2,3,1,6,1,2,0,1,6,1,1,3,2,0,2,0,1,0,0,0,0,0,1,0,1,0,1,9,1,4,0,0,2,1,3,4,2,2,0,4,0,0,3,3,1,2,1,0,3,0,0,3,1,0,0,0,0,0
272,1,2,3,1,1,3,1,2,0,1,0,1,0,1,3,1,0,2,1,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
273,34,19,32,7,30,19,6,8,22,4,7,14,16,14,14,17,8,5,10,6,9,8,7,4,6,0,14,10,16,5,4,10,16,10,8,2,7,2,3,3,6,6,5,7,0,7,3,2,2,9,8,10,3,6,5,6,3,1,12,0,7,1,1,1,3,2,10,0,2,2,1,6,0,7,0,9,1,0,5,3,5,2,5,2,8,4,11,0,0,3,14,0,1,6,0,1,7,3,0,4
274,23,34,13,15,33,27,9,1,12,6,3,8,9,16,17,9,3,4,7,22,7,3,13,18,4,0,23,2,13,7,9,11,9,4,6,0,3,5,0,3,2,4,9,5,0,9,1,2,2,13,10,6,4,2,11,3,0,4,13,1,5,0,3,0,7,2,0,2,0,7,1,2,3,6,0,5,9,3,3,1,2,5,5,1,3,1,1,5,4,8,2,9,0,2,3,7,4,5,5,3
275,2,1,6,4,1,0,0,2,1,0,11,2,0,0,0,1,2,0,0,3,1,3,1,2,1,3,0,1,0,0,0,1,1,0,2,0,0,2,0,1,0,3,2,0,3,0,2,4,2,0,0,2,0,0,0,9,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,6,0,0,0,1,1,3,1,1,0,0,8,1,1,1,0,3,1,0,0,2,0,0,0,0,0,6,3,0,0,0,1,2,3,3,0,1,0,0,0,7,0,0,2,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0,1,0,2,0,0,1
277,6,0,4,0,0,4,4,1,1,0,1,4,2,2,0,2,1,0,3,0,0,1,1,0,2,0,0,2,0,3,1,1,0,3,1,0,1,0,0,0,0,1,0,2,0,1,0,0,4,2,0,0,1,0,0,1,0,2,1,10,1,1,0,1,1,2,0,1,0,0,2,0,0,1,1,0,0,1,0,6,0,0,1,4,1,0,1,0,5,0,0,2,1,1,0,0,0,0,0,0
278,2,0,8,2,16,11,14,0,8,6,0,8,1,8,0,0,2,25,0,5,5,0,5,0,8,0,5,0,3,5,0,2,4,5,2,15,2,1,11,0,2,3,1,2,1,1,8,0,0,0,0,2,2,3,0,3,11,8,1,0,0,0,0,0,0,0,1,0,3,5,0,1,4,1,0,1,1,1,4,0,4,2,1,0,0,3,0,2,1,2,1,0,2,2,0,0,6,0,0,0
279,2,3,1,0,2,1,2,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,4,0,0,0,3,0,2,0,4,2,0,2,3,0,1,0,1,0,0,5,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,7,0,0,0,0,3,0,0,0,7,0,0,0,0,1,0,0,1,0,0
280,2,0,1,1,9,3,8,1,17,9,2,3,1,10,0,2,8,4,4,1,3,0,1,0,13,0,0,0,5,9,0,2,3,3,2,15,0,0,2,3,0,1,0,1,1,2,6,1,4,1,1,1,1,1,0,5,12,1,2,3,0,0,3,0,0,1,1,0,7,0,0,0,1,1,1,0,0,2,1,1,3,0,1,0,0,1,2,0,2,3,1,1,0,5,1,0,5,1,1,0
281,2,1,3,0,8,2,9,1,16,2,2,2,1,7,0,0,2,4,0,0,6,0,2,0,10,0,2,1,3,7,0,1,3,2,2,15,6,0,3,3,0,2,0,2,2,3,4,2,1,0,0,0,1,1,0,2,1,1,0,3,0,0,3,0,2,0,0,0,3,0,2,2,0,0,0,0,0,1,3,1,2,3,0,0,0,0,1,0,8,0,0,0,1,5,0,1,1,0,2,0
282,7,3,2,0,0,2,4,1,11,10,1,1,2,1,0,2,3,0,1,0,3,0,4,2,2,0,0,2,8,7,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,13,0,0,0,1,0,0,0,0,1,1,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,19,0,2,0,2,0,1,0,0,5,0,5,1,0,1,0,0,10,0,0,0,0,0,1,1,0
283,4,1,0,0,7,0,8,1,5,1,5,1,8,5,0,6,8,14,1,5,0,0,0,0,1,0,0,0,0,1,0,1,3,8,0,6,0,0,1,2,0,0,0,0,0,4,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,2,1,1,0,0,0,0,0,1,0,0,2,0,0,0
284,4,16,3,0,10,2,7,2,6,2,0,1,2,11,2,0,6,14,0,7,3,3,2,2,0,0,4,1,2,1,1,2,0,5,4,5,1,0,3,2,1,1,0,2,2,4,3,2,1,1,1,0,2,3,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,2,1,1,1,0,2,3,2,0,0,2,1,0,0,2,3,1,2,0,4,0
285,3,2,3,3,0,2,0,2,1,2,0,0,0,2,3,0,1,0,0,0,1,4,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,3,0
286,1,2,4,0,2,6,3,1,3,1,1,2,0,5,1,2,1,0,0,1,0,3,0,1,1,0,1,1,1,1,4,0,1,0,0,1,0,1,1,0,0,0,2,1,0,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,1,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,2,0,1,0,1,0,0,2,2,1,1,0
287,6,0,3,2,1,5,2,1,1,2,0,1,0,1,2,2,2,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,6,0,0,0,2,0,2,6,1,0,0,2,0,1,2,1,1,5,1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,1,1,0,2,1,0,2,0,0,2,0,0,0,0,0,2,1,0,5,0,0,2,1,1,0,1,0,1
288,7,0,1,0,0,1,3,1,7,3,0,2,3,0,0,5,2,0,2,0,0,0,3,2,2,0,0,3,13,7,0,1,0,1,1,0,2,1,0,1,0,1,0,1,0,2,0,0,15,1,0,3,1,0,1,1,0,1,3,11,0,0,5,0,1,0,0,0,0,0,0,0,1,2,18,1,4,1,3,0,1,0,0,9,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,0
289,3,0,1,10,17,24,12,1,2,4,3,2,3,4,0,0,3,0,0,1,0,0,1,0,1,0,0,0,9,7,0,2,0,0,1,1,3,0,2,1,0,3,1,2,0,4,1,2,0,0,0,1,2,0,1,6,0,4,2,3,0,1,5,1,1,0,0,0,0,2,0,4,0,1,0,0,2,5,2,0,0,4,1,0,1,1,0,0,0,4,1,0,1,3,2,0,0,0,1,0
290,16,11,13,9,1,3,1,4,1,1,0,2,7,6,0,5,5,4,6,1,2,0,1,0,1,11,0,0,0,0,0,1,2,0,2,0,0,0,2,1,0,1,0,1,10,4,0,2,0,1,1,0,0,3,0,4,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,5,1,0,0,1,0,0,0,1,1,0,0,1,3
291,16,0,1,8,4,2,4,2,3,0,3,7,1,7,7,1,0,4,3,1,2,0,5,1,1,0,9,0,0,0,4,1,10,4,3,0,1,1,0,0,2,0,3,1,0,2,2,3,7,0,0,5,1,2,1,0,0,0,1,2,1,2,0,2,5,0,0,1,0,1,0,1,1,0,0,0,3,0,2,1,0,0,0,3,3,0,2,0,0,1,0,1,0,3,1,0,2,0,0,0
292,2,4,3,0,6,2,3,1,1,6,1,1,0,2,0,0,0,3,2,5,0,3,1,2,1,0,2,0,0,0,2,3,2,3,5,0,3,0,1,0,1,0,0,1,0,1,0,0,0,2,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
293,2,5,1,0,2,3,5,1,2,2,0,1,1,1,1,2,0,1,2,3,0,0,3,3,0,0,5,0,1,2,1,2,0,0,2,0,1,0,0,1,0,1,0,4,0,2,0,0,0,1,2,7,1,0,1,5,0,0,0,0,3,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,3,1,0,0,2,1,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0
294,3,1,1,1,2,4,2,1,4,3,1,4,2,1,1,3,0,1,3,1,2,0,1,2,0,0,4,0,0,0,1,2,0,2,1,0,2,0,3,2,1,1,2,3,0,1,5,2,0,1,1,2,1,1,2,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,2,3,1,0,0,2,0,0,2,0,0,0,0,0,0,0,9,0,3,1,0,1,0,0,0,0,1,1,0
