articles,million,bhd,said,share,year,wa,petrona,ha,price,market,stock,group,thi,compani,billion,sen,malaysia,contract,oil,s,us,trade,profit,expect,ga,includ,project,also,research,today,per,net,klci,point,valu,sdn,develop,last,earn,revenu,valuat,kuala,fbm,lumpur,end,hold,time,higher,activ,quarter,financi,servic,lower,close,base,say,new,bank,may,first,fundament,oper,investor,current,would,note,bursa,due,index,secur,invest,rose,accord,gainer,2015,ad,fell,product,industri,busi,counter,posit,edg,score,two,rate,corp,gain,construct,could,capit,remain,manag,percent,local,offshor,one,announc,asset,report
189,3,7,1,2,1,5,2,0,1,2,3,2,0,0,2,1,2,0,2,0,1,3,2,1,3,2,0,2,0,2,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,2,1,1,0,0,0,2,0,0,0,1,0,1,0,0,2,1,0,0,2,0,0,1,0,3,2,3,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
190,0,7,2,0,0,0,2,3,0,0,1,2,0,2,0,0,1,0,0,2,0,0,1,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
191,2,3,4,1,1,2,5,2,2,0,1,0,0,0,1,1,0,4,2,1,0,2,1,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,1,1,0,2,0,2,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,1,0,0,2,1
192,0,2,3,0,1,0,3,2,4,0,3,0,1,5,4,0,4,3,5,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,4,0,0,0,1,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1
193,0,0,8,0,0,1,1,0,12,2,5,0,4,3,0,4,1,0,3,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,2,0,0,1,2,0,0,0,0,1,0,6,0,1,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
194,2,8,3,2,8,5,5,4,11,3,8,3,5,4,10,2,2,5,13,0,10,4,1,0,3,0,2,2,4,0,4,1,0,1,4,0,0,11,5,1,4,0,0,0,2,0,5,3,2,0,5,1,3,1,0,9,1,0,1,2,0,2,2,1,1,2,2,2,0,0,0,0,1,0,0,1,2,4,2,2,2,0,2,0,1,0,1,0,0,7,0,1,5,0,0,3,1,1,1,0
195,0,8,11,1,0,3,1,1,8,5,7,1,2,0,0,0,1,2,11,1,2,3,0,1,2,0,1,1,4,0,0,0,3,2,0,0,2,0,2,2,2,1,3,1,0,2,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,6,2,1,0,1,1,1,3,0,0,0,6,0,0,0,0,2,1,5,0,0,0,2,0,0,2,4,0,1,0,0,3,0,0,1,0,0
196,9,5,1,7,8,6,4,7,8,3,5,7,3,3,1,5,3,4,11,0,3,2,3,1,0,1,4,3,0,0,7,2,0,0,2,0,1,6,1,2,3,0,0,0,2,3,2,1,0,2,1,0,0,3,0,3,0,4,4,3,0,4,1,1,0,2,1,1,0,0,5,1,2,0,0,0,0,1,10,0,0,0,2,0,0,2,0,0,0,1,2,0,1,0,1,1,2,0,1,4
197,0,20,3,1,3,1,1,0,1,3,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,2,3,2,1,3,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
198,10,3,6,3,4,4,1,2,5,4,0,1,2,2,0,2,5,4,0,2,0,0,1,2,0,0,2,1,5,1,3,2,0,0,0,2,1,0,4,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,2,1,1,0,0,0,1,0,1,1,1,2,0,1,1,0,0,0,1,1,0,0,1,0,1,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0
