articles,million,bhd,said,share,year,wa,petrona,ha,price,market,stock,group,thi,compani,billion,sen,malaysia,contract,oil,s,us,trade,profit,expect,ga,includ,project,also,research,today,per,net,klci,point,valu,sdn,develop,last,earn,revenu,valuat,kuala,fbm,lumpur,end,hold,time,higher,activ,quarter,financi,servic,lower,close,base,say,new,bank,may,first,fundament,oper,investor,current,would,note,bursa,due,index,secur,invest,rose,accord,gainer,2015,ad,fell,product,industri,busi,counter,posit,edg,score,two,rate,corp,gain,construct,could,capit,remain,manag,percent,local,offshor,one,announc,asset,report
238,3,0,6,4,0,4,1,0,0,2,2,0,0,0,1,2,0,1,0,3,0,2,1,0,0,3,0,0,2,1,0,1,3,3,1,0,0,1,2,0,0,1,3,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,3,2,0,1,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0
239,4,0,5,3,0,4,1,0,1,3,2,0,1,0,0,1,0,0,0,0,3,2,0,1,1,3,0,2,2,1,0,0,3,3,1,0,0,0,0,0,1,1,3,1,1,0,0,1,3,1,0,0,3,1,0,0,0,1,1,1,0,0,3,1,1,0,0,2,0,1,0,1,1,2,0,1,2,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,1,0
240,4,0,5,3,0,4,1,0,1,3,2,0,1,0,0,1,0,0,0,0,3,2,0,1,1,3,0,2,2,1,0,0,3,3,1,0,0,0,0,0,1,1,3,1,1,0,0,1,3,1,0,0,3,1,0,0,0,1,1,1,0,0,3,1,1,0,0,2,0,1,0,1,1,2,0,1,2,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,1,0
241,1,1,3,1,1,0,1,1,1,6,2,0,1,0,0,0,3,0,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,1,1,1,2,0,0,0,2,0,0,0,0,3,3,0,0,0,1,4,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0
242,0,1,3,1,0,0,1,1,1,5,3,0,1,0,0,0,3,0,3,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0
243,0,0,6,0,0,6,2,0,0,8,3,0,0,0,0,0,0,0,0,2,5,1,0,1,1,1,0,1,2,0,0,0,4,2,0,0,0,0,0,0,0,1,4,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,2,1,1,0,0,0,0,1,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0
244,0,0,6,0,0,6,2,0,0,8,3,0,0,0,0,0,0,0,0,2,5,1,0,1,1,1,0,1,2,0,0,0,4,2,0,0,0,0,0,0,0,1,4,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,2,1,1,0,0,0,0,1,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0
245,0,1,4,2,0,2,3,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,1,4,2,0,2,3,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
248,4,0,6,5,0,3,1,0,1,2,3,0,1,0,1,2,0,1,1,2,1,3,1,1,1,3,0,0,3,2,0,2,4,3,1,0,0,0,0,0,1,1,4,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,1,2,0,1,0,0,2,0,2,1,1,0,0,0,0,3,0,0,0,2,0,1,3,0,1,0,0,0
249,4,0,6,5,0,3,1,0,1,2,3,0,1,0,1,2,0,1,1,2,1,3,1,1,1,3,0,0,3,2,0,2,4,3,1,0,0,0,0,0,1,1,4,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,1,2,0,1,0,0,2,0,2,1,1,0,0,0,0,3,0,0,0,2,0,1,3,0,1,0,0,0
250,4,0,6,2,0,2,2,0,1,5,3,0,0,1,0,2,1,0,1,0,2,2,1,2,1,3,0,2,2,1,0,1,2,4,1,0,0,0,0,0,2,1,2,1,0,1,1,2,2,0,0,1,0,1,0,0,0,1,2,0,0,0,5,0,1,1,0,0,1,1,0,2,1,2,0,1,0,0,1,0,2,0,0,0,0,0,3,1,0,0,0,2,0,0,1,0,0,0,1,1
251,4,0,6,2,0,2,2,0,1,5,3,0,0,1,0,2,1,0,1,0,2,2,1,2,1,3,0,2,2,1,0,1,2,4,1,0,0,0,0,0,2,1,2,1,0,1,1,2,2,0,0,1,0,1,0,0,0,1,2,0,0,0,5,0,1,1,0,0,1,1,0,2,1,2,0,1,0,0,1,0,2,0,0,0,0,0,3,1,0,0,0,2,0,0,1,0,0,0,1,1
252,4,0,6,2,0,2,2,0,1,5,3,0,0,1,0,2,1,0,1,0,2,2,1,2,1,3,0,2,2,1,0,1,2,4,1,0,0,0,0,0,2,1,2,1,0,1,1,2,2,0,0,1,0,1,0,0,0,1,2,0,0,0,5,0,1,1,0,0,1,1,0,2,1,2,0,1,0,0,1,0,2,0,0,0,0,0,3,1,0,0,0,2,0,0,1,0,0,0,1,1
253,16,2,1,6,6,1,1,12,1,3,1,0,5,10,4,2,3,2,0,0,2,0,5,0,0,0,11,5,0,0,1,2,0,0,2,0,9,2,0,6,0,0,0,0,4,1,1,0,0,4,1,2,0,3,0,9,2,2,1,3,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0
254,16,2,1,6,6,1,1,12,1,3,1,0,5,10,4,2,3,2,0,0,2,0,5,0,0,0,11,5,0,0,1,2,0,0,2,0,9,2,0,6,0,0,0,0,4,1,1,0,0,4,1,2,0,3,0,9,2,2,1,3,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0
255,3,0,3,3,0,3,1,0,0,2,2,0,2,0,0,2,1,1,0,1,1,3,1,1,1,3,0,0,1,2,0,0,3,3,1,0,0,1,0,0,0,1,2,1,0,1,0,1,2,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,1,2,1,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,0,1,1,0,0,0,0,0
256,2,0,3,2,0,3,2,0,0,3,2,0,2,0,0,0,0,0,0,2,1,4,0,1,1,3,0,0,1,2,0,0,3,3,1,0,0,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,2,3,1,0,1,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,2,2,0,0,0,0,0
257,2,0,3,2,0,3,2,0,0,3,2,0,2,0,0,0,0,0,0,2,1,4,0,1,1,3,0,0,1,2,0,0,3,3,1,0,0,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,2,3,1,0,1,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,2,2,0,0,0,0,0
258,2,0,6,3,0,3,1,0,1,6,3,0,0,0,0,0,0,1,1,2,2,3,0,2,1,1,0,1,3,0,0,0,3,2,1,0,0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,2,1,1,1,2,0,3,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,0,2,1,0,0,0,1,1
259,2,0,6,3,0,3,1,0,1,6,3,0,0,0,0,0,0,1,1,2,2,3,0,2,1,1,0,1,3,0,0,0,3,2,1,0,0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,2,1,1,1,2,0,3,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,0,2,1,0,0,0,1,1
260,3,0,5,6,0,3,1,0,0,1,1,0,0,0,2,2,0,0,0,1,1,3,2,2,1,3,0,0,1,0,0,0,5,4,2,0,0,0,0,0,0,1,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,1,1,0,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0
261,3,0,5,6,0,3,1,0,0,1,1,0,0,0,2,2,0,0,0,1,1,3,2,2,1,3,0,0,1,0,0,0,5,4,2,0,0,0,0,0,0,1,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,1,1,0,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0
262,12,8,0,0,12,9,5,4,0,0,1,2,4,9,0,0,2,2,7,6,0,0,3,0,2,1,0,3,2,0,1,5,0,0,0,3,2,5,3,2,0,0,0,0,2,1,2,1,2,1,5,1,0,1,0,4,1,1,1,1,0,1,0,2,2,3,0,1,0,0,0,1,1,0,0,0,1,3,4,0,0,3,1,0,0,0,1,1,0,3,0,0,0,0,0,1,2,1,0,1
263,12,8,0,0,12,9,5,4,0,0,1,2,4,9,0,0,2,2,7,6,0,0,3,0,2,1,0,3,2,0,1,5,0,0,0,3,2,5,3,2,0,0,0,0,2,1,2,1,2,1,5,1,0,1,0,4,1,1,1,1,0,1,0,2,2,3,0,1,0,0,0,1,1,0,0,0,1,3,4,0,0,3,1,0,0,0,1,1,0,3,0,0,0,0,0,1,2,1,0,1
264,3,0,6,3,0,5,1,0,0,3,2,0,1,0,0,1,0,0,0,0,3,3,0,1,1,3,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,2,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
265,3,0,9,3,0,5,1,0,1,3,2,0,2,0,0,2,0,0,0,0,7,4,0,1,0,3,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,2,1,1,0,1,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,1,2,0,2,0,0,0,1,2,0,0,0,0,1,3,2,0,1,0,0,2,0,0,0,0,0,0,0
266,3,0,9,3,0,5,1,0,1,3,2,0,2,0,0,2,0,0,0,0,7,4,0,1,0,3,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,2,1,1,0,1,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,1,2,0,2,0,0,0,1,2,0,0,0,0,1,3,2,0,1,0,0,2,0,0,0,0,0,0,0
267,2,0,3,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0
268,2,0,3,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0
269,2,0,3,5,0,5,1,0,0,1,4,0,1,0,1,2,1,0,0,2,0,3,0,0,0,3,0,0,2,0,0,0,4,1,1,0,0,0,1,0,0,1,4,1,1,0,1,1,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0
270,2,0,3,5,0,5,1,0,0,1,4,0,1,0,1,2,1,0,0,2,0,3,0,0,0,3,0,0,2,0,0,0,4,1,1,0,0,0,1,0,0,1,4,1,1,0,1,1,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0
271,3,0,3,5,0,3,1,0,0,1,2,0,1,0,0,2,1,0,0,2,0,3,0,1,0,3,0,1,1,0,0,0,4,4,1,0,0,1,0,0,0,1,4,1,1,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,2,0,2,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
272,3,0,3,5,0,3,1,0,0,1,2,0,1,0,0,2,1,0,0,2,0,3,0,1,0,3,0,1,1,0,0,0,4,4,1,0,0,1,0,0,0,1,4,1,1,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,2,0,2,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
273,3,0,3,5,0,2,1,0,0,1,3,0,0,0,0,2,0,0,0,1,1,3,0,1,0,3,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,1,1,0,0,0,2,1,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,0,0,0
274,3,0,3,5,0,2,1,0,0,1,3,0,0,0,0,2,0,0,0,1,1,3,0,1,0,3,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,1,1,0,0,0,2,1,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,0,0,0
275,4,0,5,4,0,5,1,0,0,2,2,0,0,1,0,1,1,2,0,0,2,2,0,0,0,4,0,0,1,2,0,0,3,1,1,0,0,1,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,1,0,1,3,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
276,4,0,5,4,0,5,1,0,0,2,2,0,0,1,0,1,1,2,0,0,2,2,0,0,0,4,0,0,1,2,0,0,3,1,1,0,0,1,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,1,0,1,3,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
277,3,0,3,3,0,2,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,2,2,0,0,3,0,0,1,0,0,0,2,2,1,0,0,2,0,0,0,1,2,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0
278,11,9,5,1,7,8,1,2,0,1,1,8,8,5,1,0,5,5,2,0,1,0,2,3,1,0,2,1,0,0,0,1,0,0,0,4,1,2,1,6,1,0,0,0,1,1,2,0,0,2,3,2,1,0,0,1,0,0,0,2,0,1,0,2,0,0,2,0,0,4,1,0,1,0,0,2,0,0,2,3,0,0,2,0,2,0,9,0,1,1,1,2,1,0,1,4,0,0,0,0
279,11,9,5,1,7,8,1,2,0,1,1,8,8,5,1,0,5,5,2,0,1,0,2,3,1,0,2,1,0,0,0,1,0,0,0,4,1,2,1,6,1,0,0,0,1,1,2,0,0,2,3,2,1,0,0,1,0,0,0,2,0,1,0,2,0,0,2,0,0,4,1,0,1,0,0,2,0,0,2,3,0,0,2,0,2,0,9,0,1,1,1,2,1,0,1,4,0,0,0,0
280,1,7,3,3,0,4,2,2,0,7,4,0,0,1,1,3,3,0,0,9,2,1,0,2,2,0,0,0,2,2,0,0,3,1,0,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,2,1,0,0,1,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
281,3,0,7,1,1,3,2,1,1,4,2,0,2,1,0,0,0,0,0,0,4,3,0,1,1,1,0,0,2,2,1,0,3,1,1,0,0,0,0,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,4,2,1,0,4,0,0,0,0,0,0,0,1,1,0
282,3,0,7,1,1,3,2,1,1,4,2,0,2,1,0,0,0,0,0,0,4,3,0,1,1,1,0,0,2,2,1,0,3,1,1,0,0,0,0,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,4,2,1,0,4,0,0,0,0,0,0,0,1,1,0
283,4,0,4,7,0,3,1,1,1,1,2,0,2,0,0,2,0,1,2,3,2,4,0,0,0,4,0,0,1,1,1,0,3,1,1,0,0,1,0,0,0,1,3,1,0,2,0,2,2,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,1,0,0,0,1,0,0,1,1,2,0,5,0,0,0,0,2,1,0,0,0,0,1,2,0,1,0,2,0,2,0,0,0,0,0,0
284,4,0,4,7,0,3,1,1,1,1,2,0,2,0,0,2,0,1,2,3,2,4,0,0,0,4,0,0,1,1,1,0,3,1,1,0,0,1,0,0,0,1,3,1,0,2,0,2,2,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,1,0,0,0,1,0,0,1,1,2,0,5,0,0,0,0,2,1,0,0,0,0,1,2,0,1,0,2,0,2,0,0,0,0,0,0
285,3,0,5,3,0,4,3,1,0,5,4,0,0,0,2,2,1,1,0,0,1,2,0,1,2,3,0,0,1,1,1,0,3,3,2,0,0,1,0,0,0,1,3,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,1,0,1,1,2,0,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
286,3,0,5,3,0,4,3,1,0,5,4,0,0,0,2,2,1,1,0,0,1,2,0,1,2,3,0,0,1,1,1,0,3,3,2,0,0,1,0,0,0,1,3,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,1,0,1,1,2,0,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
287,3,0,2,2,0,4,2,1,0,3,2,0,1,0,0,2,0,0,0,0,0,2,0,1,1,3,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
288,3,0,2,2,0,4,2,1,0,3,2,0,1,0,0,2,0,0,0,0,0,2,0,1,1,3,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
289,3,0,3,2,0,1,1,1,0,4,5,0,1,1,0,0,0,2,0,1,1,3,0,0,1,2,0,0,1,2,0,0,3,2,1,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0
290,3,0,3,2,0,1,1,1,0,4,5,0,1,1,0,0,0,2,0,1,1,3,0,0,1,2,0,0,1,2,0,0,3,2,1,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0
291,3,0,4,5,1,4,1,2,1,4,1,1,0,0,0,2,2,0,0,4,0,3,0,1,1,4,0,0,1,0,0,0,4,3,1,0,2,0,0,0,0,1,4,1,0,0,1,2,3,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,1,0,2,0,0,2,2,2,0,0,0,0,0,0,2,2,1,0,1,1,1,2,0,0,1,3,0,3,1,0,0,0,0,1
292,3,0,4,5,1,4,1,2,1,4,1,1,0,0,0,2,2,0,0,4,0,3,0,1,1,4,0,0,1,0,0,0,4,3,1,0,2,0,0,0,0,1,4,1,0,0,1,2,3,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,1,0,2,0,0,2,2,2,0,0,0,0,0,0,2,2,1,0,1,1,1,2,0,0,1,3,0,3,1,0,0,0,0,1
293,3,0,4,2,2,3,1,3,1,2,1,0,0,0,0,2,0,1,0,2,0,2,0,1,1,4,0,0,1,0,0,0,4,3,1,0,2,0,0,0,0,1,4,1,0,0,1,1,2,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,3,0,0,1,0,0,0,0,1
294,3,0,4,2,2,3,1,3,1,2,1,0,0,0,0,2,0,1,0,2,0,2,0,1,1,4,0,0,1,0,0,0,4,3,1,0,2,0,0,0,0,1,4,1,0,0,1,1,2,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,3,0,0,1,0,0,0,0,1
295,11,8,0,11,2,6,0,1,0,3,1,1,5,4,1,2,3,0,0,0,0,0,2,0,0,1,1,1,0,0,1,3,0,0,1,2,1,0,0,2,0,0,0,0,2,2,2,1,0,1,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0
296,2,0,5,5,0,3,1,1,0,5,1,0,2,0,3,2,1,1,0,1,1,3,1,2,1,3,0,1,1,0,0,0,5,4,2,0,0,0,0,0,0,1,5,1,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,0,1,2,0,1,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
297,2,0,5,5,0,3,1,1,0,5,1,0,2,0,3,2,1,1,0,1,1,3,1,2,1,3,0,1,1,0,0,0,5,4,2,0,0,0,0,0,0,1,5,1,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,0,1,2,0,1,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
298,0,4,6,1,1,2,6,1,1,0,1,0,1,5,3,0,2,0,3,1,0,0,1,2,1,0,1,1,2,1,0,0,0,0,0,1,0,1,5,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,2
299,3,0,5,6,0,2,2,0,1,2,2,0,0,1,0,2,0,0,1,1,1,3,0,0,1,3,0,1,2,2,0,0,4,2,1,0,2,0,0,0,0,1,4,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,2,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,2,0,1,0,3,1,0,0,0,0,0
300,3,0,5,6,0,2,2,0,1,2,2,0,0,1,0,2,0,0,1,1,1,3,0,0,1,3,0,1,2,2,0,0,4,2,1,0,2,0,0,0,0,1,4,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,2,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,2,0,1,0,3,1,0,0,0,0,0
301,4,10,1,1,11,3,1,6,5,10,1,2,12,0,25,0,5,0,0,0,5,0,0,3,0,2,6,2,2,1,0,0,0,1,2,3,12,2,1,0,0,0,0,0,0,4,2,4,0,0,1,0,3,1,5,11,1,1,0,2,0,0,1,1,1,1,0,3,0,1,28,1,3,0,1,2,0,0,0,2,0,1,1,0,2,1,0,1,0,2,2,1,7,0,4,0,2,2,12,1
302,4,10,1,1,11,3,1,6,5,10,1,2,12,0,25,0,5,0,0,0,5,0,0,3,0,2,6,2,2,1,0,0,0,1,2,3,12,2,1,0,0,0,0,0,0,4,2,4,0,0,1,0,3,1,5,11,1,1,0,2,0,0,1,1,1,1,0,3,0,1,28,1,3,0,1,2,0,0,0,2,0,1,1,0,2,1,0,1,0,2,2,1,7,0,4,0,2,2,12,1
303,27,7,0,16,10,2,1,14,19,2,2,2,11,5,10,1,1,7,1,0,3,6,8,6,2,1,4,3,12,0,10,5,0,0,16,4,6,2,8,0,3,0,0,0,0,8,12,4,0,0,0,1,1,0,9,0,1,3,2,3,3,7,2,2,6,0,0,5,0,0,2,0,1,0,1,0,0,1,1,1,0,7,1,0,2,5,2,2,7,5,4,7,1,0,0,0,1,0,2,0
304,17,7,0,4,6,3,5,4,5,2,1,8,2,2,4,4,2,0,1,0,0,0,1,2,2,1,0,2,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,5,2,2,0,0,2,3,0,1,1,0,6,1,1,1,1,0,2,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,1,0,1,0,0,1,0,3,3,2,2,0,1,0,0,2,0,0
