articles,bhd,market,said,million,axiata,group,share,wa,malaysia,year,week,us,billion,point,s,stock,ha,thi,compani,last,also,klci,index,price,trade,sen,declin,today,net,profit,expect,fbm,servic,valuat,hold,financi,base,time,fundament,growth,increas,invest,averag,fell,revenu,research,per,earn,bank,oper,level,close,may,indic,oil,valu,higher,mobil,would,lower,celcom,bursa,two,end,includ,kuala,lumpur,score,busi,continu,top,move,say,note,howev,still,quarter,dollar,industri,investor,remain,rose,support,foreign,capit,number,2015,high,interest,provid,rate,dividend,telekom,global,friday,sdn,edg,loss,new,one
26,25,2,5,1,1,2,1,2,4,0,1,1,1,2,2,1,0,1,1,0,0,5,2,0,3,0,1,1,0,0,0,5,1,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,3,1,1,0,0,2,1,0,0,1,0,3,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,3,0,0,7,11,8,1,0,0,1,0,2,0,0,0,1,2,4,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,3,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1
28,4,0,0,3,8,2,1,1,1,2,0,0,1,0,0,1,1,3,0,0,0,0,0,0,1,1,0,0,2,1,1,0,2,1,0,2,1,4,0,0,4,0,2,0,3,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,1,2,1,1,0,1,0,0,1,0,2,0,0
29,3,2,4,0,10,1,2,2,3,0,0,0,2,0,0,1,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
30,14,17,11,0,1,3,1,4,2,0,1,3,1,2,1,3,1,1,1,1,0,3,4,0,4,0,0,2,0,0,2,3,0,0,4,1,1,0,0,0,0,0,1,0,0,5,0,0,0,0,2,2,1,2,0,0,5,0,2,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,2,2,0,0,0,2,0,0,0,2,3,2,0,0,0,0,2,1,0,0,0,0,0
31,33,2,13,25,4,12,11,4,9,9,0,1,12,0,6,1,10,5,5,3,1,0,0,1,0,1,0,6,4,5,1,0,0,0,15,2,4,0,0,0,0,2,0,2,4,0,2,0,1,3,0,1,2,0,0,2,1,0,0,2,0,2,3,3,3,1,1,0,5,0,0,0,0,1,2,0,2,0,4,0,1,0,0,1,3,0,0,0,2,0,0,1,0,2,1,5,0,5,1,0
32,2,1,1,11,14,7,6,13,2,14,0,8,5,2,0,1,6,8,2,3,7,0,0,2,0,3,0,1,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,3,0,0,1,0,0,2,0,11,0,0,3,0,0,0,0,0,0,0,0,7,2,3,2,2,3,0,0,1,0,0,2,1,0,1,0,2,1,1,2,0,0,1,0,0,6,1,0
33,11,1,1,0,1,2,0,2,2,0,0,3,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
34,1,3,2,0,1,1,2,1,1,3,1,3,0,0,4,6,0,0,0,0,2,0,0,2,0,0,2,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,2,0,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,4,0,0,0,0,0,1,1,0,4,0,0,2,0,0,0,0,0,0
35,26,5,4,2,1,2,2,3,5,0,3,2,0,2,2,1,0,0,0,1,0,4,4,2,1,0,2,2,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,2,3,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,9,2,1,0,1,1,2,1,0,0,3,4,2,1,9,1,0,2,0,0,0,3,1,0,1,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2
37,1,4,9,1,1,4,2,2,0,2,0,5,7,0,0,1,5,1,3,2,2,0,0,2,1,0,0,0,1,2,0,0,3,0,0,0,1,1,0,2,1,2,0,0,2,0,0,2,0,2,0,0,0,0,0,1,1,1,9,0,0,0,0,0,3,0,0,0,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0
38,0,7,1,0,1,0,3,1,1,4,2,0,0,1,3,5,0,1,1,0,1,0,5,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0,1,4,0,1,1,0,0,2,1,0,0,1,3,1
39,4,2,3,6,4,3,6,0,1,0,0,3,1,0,0,0,4,3,2,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0
