articles,bhd,market,said,million,axiata,group,share,wa,malaysia,year,week,us,billion,point,s,stock,ha,thi,compani,last,also,klci,index,price,trade,sen,declin,today,net,profit,expect,fbm,servic,valuat,hold,financi,base,time,fundament,growth,increas,invest,averag,fell,revenu,research,per,earn,bank,oper,level,close,may,indic,oil,valu,higher,mobil,would,lower,celcom,bursa,two,end,includ,kuala,lumpur,score,busi,continu,top,move,say,note,howev,still,quarter,dollar,industri,investor,remain,rose,support,foreign,capit,number,2015,high,interest,provid,rate,dividend,telekom,global,friday,sdn,edg,loss,new,one
65,6,5,2,1,3,1,4,2,4,1,1,3,2,3,5,3,0,1,0,0,0,2,1,0,2,1,4,1,1,1,2,1,0,0,1,0,0,1,0,0,1,0,0,3,0,2,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,1,0,1,0,0
66,1,1,4,4,6,3,4,2,1,2,0,0,6,0,1,1,0,0,0,0,1,0,0,0,1,2,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,4,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
67,5,0,0,2,1,2,2,0,2,3,0,0,0,0,0,1,1,1,1,0,1,0,0,5,0,0,0,0,0,0,2,0,4,0,1,1,2,2,0,0,0,0,1,0,0,0,2,1,1,2,0,0,1,1,0,1,0,2,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,2,0,0,1,0,2,0,1
68,13,2,7,17,4,5,9,2,1,5,0,2,0,0,9,2,7,2,10,1,2,0,0,2,2,10,0,7,1,1,1,0,1,0,2,1,1,1,0,0,0,2,0,0,2,0,2,0,1,0,2,2,2,0,0,3,0,0,1,1,2,1,0,3,1,1,1,0,1,0,0,1,0,0,0,1,2,0,1,0,0,2,0,0,2,0,1,1,1,2,0,1,0,4,1,4,0,2,0,0
69,8,4,3,0,1,1,2,2,2,0,0,0,0,4,1,1,0,1,0,0,0,4,1,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,2,1,1,2,11,3,1,0,0,0,0,1,1,0,0,1,5,1,3,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
71,7,7,0,0,1,3,1,3,2,0,18,7,5,15,0,2,0,3,0,13,0,9,11,1,3,0,6,0,2,0,3,9,0,0,2,1,0,1,0,0,5,2,5,3,0,0,1,0,0,0,6,3,1,3,1,1,2,0,1,3,0,2,0,1,0,0,0,0,0,3,3,4,0,1,4,4,1,3,1,0,2,0,5,3,0,0,0,0,1,0,1,0,0,0,6,1,1,0,0,1
72,10,11,9,0,1,2,1,1,1,0,0,2,0,1,0,6,0,0,1,2,0,3,2,1,2,0,0,2,0,0,0,3,0,0,3,0,1,0,0,0,1,1,1,0,0,4,0,1,0,0,1,0,7,3,1,0,1,0,2,3,0,0,0,1,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0
73,7,7,0,2,1,2,1,4,3,0,22,7,4,13,0,2,3,7,0,5,1,9,9,0,4,0,7,0,3,0,0,9,0,0,2,1,1,1,0,0,5,2,6,2,0,0,2,0,0,0,0,2,2,10,3,1,2,0,0,0,0,2,3,0,0,0,0,0,0,4,2,4,0,0,4,7,0,2,1,0,1,2,3,3,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,2
74,21,3,3,0,1,2,2,1,3,0,0,2,0,1,2,2,0,0,0,0,0,2,2,2,1,0,0,2,1,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,3,1,1,0,0,2,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
75,5,0,2,5,2,1,5,0,1,1,0,2,1,0,0,0,1,0,3,1,1,0,0,1,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,25,3,4,2,1,2,0,1,4,0,0,3,0,1,1,1,0,0,0,0,3,2,0,1,1,0,0,1,0,0,4,2,1,0,6,2,0,1,0,1,0,1,0,1,0,4,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,1,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
77,11,3,4,0,1,1,0,1,3,0,0,4,0,6,3,2,0,1,0,0,0,4,1,0,0,0,2,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0
78,16,2,12,12,7,10,6,6,5,4,0,2,4,1,9,1,3,2,6,1,2,0,0,2,0,4,0,3,3,4,1,0,1,0,2,3,2,0,0,1,1,0,0,0,2,0,4,1,0,1,0,0,1,0,0,2,1,0,3,1,0,2,1,2,2,2,2,0,7,1,3,3,0,0,0,1,3,0,0,0,2,0,1,0,0,1,2,0,3,2,0,0,0,0,0,7,0,0,1,1
79,10,13,4,1,3,2,2,11,11,0,3,1,14,1,0,6,1,2,7,5,4,0,0,3,0,2,2,0,2,0,3,0,2,0,1,0,1,3,0,2,2,4,0,0,3,0,0,0,0,3,0,1,0,0,2,4,4,2,3,2,1,2,3,0,3,1,1,0,4,0,1,2,3,0,1,2,0,0,4,4,0,0,0,5,1,0,0,0,0,1,2,3,0,1,0,0,1,1,1,1
80,7,12,0,3,1,3,2,8,3,1,19,9,4,14,0,1,1,6,0,4,2,6,12,2,4,0,3,0,2,0,1,6,0,0,2,1,0,1,0,0,9,2,9,0,0,0,2,0,0,0,6,0,2,9,2,1,0,0,0,2,0,2,1,0,0,0,0,0,0,2,3,5,0,0,3,4,0,5,1,0,1,3,4,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,4
81,4,0,1,7,5,1,6,5,4,8,0,0,6,0,0,5,6,7,0,2,2,1,0,1,0,16,1,0,4,2,1,1,0,0,1,1,5,7,0,0,0,0,3,1,1,0,2,4,0,2,1,2,2,0,0,1,2,1,5,3,6,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2,1,0,0,3,1,0,0,0,0,3,8,1,1,1,0,10,2,0,0,0,1,0,0,5
82,7,13,0,3,1,1,2,6,2,2,26,6,4,13,0,3,1,5,0,7,1,4,10,1,4,0,3,0,2,0,2,4,0,0,0,1,1,1,0,0,9,3,8,0,0,0,2,0,3,0,2,0,0,4,3,1,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,6,0,0,6,2,0,3,1,0,1,5,1,3,1,0,0,0,1,0,1,0,0,0,0,1,1,0,2,0
83,21,0,10,39,9,9,20,3,6,19,0,5,6,0,20,1,11,2,8,2,6,0,0,5,0,17,0,9,13,16,4,0,3,2,2,5,3,0,2,2,5,1,1,0,13,1,14,2,1,5,1,0,2,0,6,1,7,2,3,4,6,2,2,9,1,1,1,3,1,3,0,1,0,3,0,0,8,4,2,0,4,4,0,2,6,2,9,0,1,3,1,1,1,1,1,6,1,3,4,3
84,1,3,4,1,11,6,4,2,0,0,0,0,1,0,10,1,1,1,1,0,2,0,0,0,0,1,0,1,0,1,1,0,0,2,2,0,2,0,2,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,3,0,0,1,1,3,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1
85,6,2,7,0,3,3,0,1,2,5,0,1,2,0,9,1,2,3,2,0,4,0,0,0,0,2,0,1,1,1,2,0,10,2,0,1,3,1,2,0,0,0,0,1,0,1,0,2,0,1,0,2,0,0,0,1,0,8,1,0,18,0,0,1,0,1,1,3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,1,0,0,3,1,0,0,2
86,9,4,0,1,1,1,6,6,3,0,0,5,4,2,14,5,0,2,1,0,3,1,3,2,5,6,0,4,0,1,0,1,0,2,1,1,2,3,2,0,1,0,0,2,1,2,0,0,0,0,1,3,1,0,2,2,1,0,0,0,0,1,0,1,0,2,2,3,0,1,2,1,1,2,1,0,0,2,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0
87,2,4,2,1,2,3,2,0,0,2,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,1,0,3,0,1,1,0,3,2,1,0,2,0,2,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,1
88,1,1,3,1,8,6,2,0,0,0,0,0,1,0,4,2,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,2,0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1
89,7,2,2,0,1,3,2,5,2,0,1,5,2,2,8,5,0,0,1,0,1,4,3,3,1,0,6,2,0,1,1,1,0,2,2,0,2,0,2,1,1,0,0,2,1,1,1,0,0,0,0,1,0,0,5,1,0,0,1,0,0,1,1,0,0,1,1,3,0,0,1,0,0,1,0,1,0,1,0,2,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,9,2,1,1,7,5,0,0,5,4,1,1,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,3,1,0,3,0,0,1,0,1,0,1,0,3,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,10,1,0,1,1,2,0,1,0,0,0,1,3,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,4,1,2,6,0,0,1,1,0,0,4
91,6,1,12,10,1,7,0,1,5,9,2,2,0,0,0,1,1,4,5,3,4,0,0,0,0,2,0,0,2,3,2,0,1,3,0,4,3,0,3,2,2,1,0,0,3,1,0,0,0,8,0,1,0,0,0,2,1,2,2,0,0,0,5,1,0,1,1,3,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,1,2,3,0,0,7
92,1,1,7,3,8,1,2,1,2,3,0,0,7,0,3,2,0,0,4,0,2,0,0,1,0,1,0,2,3,4,0,0,0,2,0,0,2,0,2,0,0,1,0,1,8,1,0,1,0,4,0,0,0,0,0,2,5,1,1,1,0,1,1,1,2,1,1,3,0,0,0,0,0,1,1,0,2,0,0,0,0,3,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
93,1,2,3,0,6,1,1,0,1,1,0,0,2,0,3,2,0,0,1,0,2,0,0,0,0,1,0,2,1,1,1,0,1,2,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,4,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0
94,7,12,0,3,1,3,2,5,2,0,22,9,4,13,0,1,2,6,0,6,1,5,7,2,2,0,7,0,2,0,1,5,0,0,0,2,0,1,0,1,4,2,5,1,0,0,2,0,0,0,5,0,1,7,3,1,1,0,0,2,0,2,10,0,0,1,1,0,0,5,2,3,0,0,5,2,0,5,1,0,4,3,5,2,0,0,1,1,0,0,0,0,0,1,2,1,1,0,0,2
95,10,3,2,1,1,2,3,4,1,0,0,2,0,1,2,1,0,2,1,0,1,2,1,0,2,1,0,1,0,1,0,2,0,2,3,0,2,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,1,0,1,1,0,0
96,22,2,4,3,1,2,2,3,1,0,0,3,3,2,2,3,0,0,1,0,1,3,1,0,2,0,0,2,1,1,1,3,0,2,3,0,2,0,2,0,0,0,0,3,0,2,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,3,0,0,3,0,0,1,0,0,0,0,1,2,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0
97,6,2,4,2,1,1,5,1,1,0,0,0,0,0,1,5,2,0,3,0,1,0,0,1,2,4,3,2,0,2,0,0,0,2,0,0,2,0,2,0,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0
98,10,2,5,0,1,2,2,2,1,1,0,1,0,1,3,1,1,1,1,0,1,3,1,0,0,0,0,1,0,1,1,3,0,2,1,1,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,2,3,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0
99,29,2,2,0,1,3,0,0,5,0,0,0,0,0,0,6,1,0,3,0,1,0,6,2,1,1,0,2,0,1,0,0,1,2,3,0,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,3,0,0,1,0,0,1,0,0,1,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0
100,14,6,10,4,1,3,1,0,5,6,0,2,0,0,3,1,8,2,4,0,2,0,0,0,0,1,0,5,1,1,2,0,8,2,3,2,3,1,2,1,0,0,0,0,0,1,0,3,0,1,0,0,1,0,2,3,1,0,0,0,2,5,2,2,2,0,0,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,4,1,0,2,0,4,0,1,0,1,1,0,0,0
101,2,2,2,0,1,1,1,0,1,2,0,0,1,0,1,1,1,0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,3,3,0,0,2,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,23,3,1,0,1,2,1,1,2,1,0,2,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,3,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0
103,15,0,2,9,1,11,0,2,2,8,0,14,10,1,0,2,13,8,20,2,4,0,0,2,0,0,2,0,6,4,3,0,3,13,0,3,2,4,14,1,1,1,1,0,4,1,0,6,1,2,2,0,2,0,6,2,2,0,3,2,0,1,0,2,2,0,0,3,2,0,1,1,2,4,7,2,4,7,3,2,0,0,3,16,1,2,3,8,3,2,3,0,1,0,0,0,1,15,2,0
104,4,2,0,6,1,1,3,1,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,3,0,0,5,3,1,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,4,2,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,2,0,0,0,2,0,1,0,0
105,4,2,0,3,2,1,8,4,1,0,0,0,0,2,2,1,1,1,2,0,2,1,1,2,6,6,0,4,0,1,0,1,0,4,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,2,0,0
106,0,12,0,0,1,0,0,4,16,4,0,0,1,0,10,3,16,16,1,0,4,0,0,0,19,0,0,3,0,0,3,0,1,0,2,26,0,4,2,6,10,14,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,5,1,1,0,0,4,0,0,0,2,0,1,0,0,0,11,2,0,5,12,9,0,2,1,0,3,2,0,0,25,0,0,0,0,2,3
107,11,3,3,0,1,3,0,0,0,0,0,2,0,1,0,4,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,0,1,1,1,0,0,3,0,5,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,2,0,1,0,2,2,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0
108,12,4,2,1,1,3,1,0,0,2,0,2,0,1,1,4,2,0,1,0,2,1,0,0,1,1,0,2,0,1,3,1,0,0,1,1,1,0,0,3,0,6,0,0,0,0,0,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,2,0,1,0,2,2,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
109,1,4,3,2,6,3,1,2,2,0,0,1,1,0,4,1,2,0,4,0,3,0,0,0,0,1,0,3,0,1,0,0,0,3,1,0,3,0,3,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110,5,5,1,0,3,2,2,4,2,0,1,0,0,0,3,2,1,1,1,0,2,0,0,2,0,7,2,3,0,1,1,0,1,6,1,0,2,1,6,0,0,0,0,2,1,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,3,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,1
111,3,3,3,4,1,0,3,3,0,2,0,0,1,0,9,2,3,1,1,0,4,0,0,2,1,2,1,4,0,1,2,0,2,3,1,2,2,0,3,1,0,1,0,1,1,5,2,2,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,3,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0
112,1,3,0,1,1,0,4,0,1,1,0,0,0,0,5,1,3,0,3,0,0,0,0,2,2,3,0,0,3,2,1,0,2,1,0,0,1,3,1,3,1,0,1,0,3,0,1,1,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0
113,1,3,0,1,1,0,4,0,1,1,0,0,0,0,0,1,3,0,3,0,0,0,0,2,2,3,0,0,3,2,1,0,2,1,0,0,1,3,1,3,1,0,1,0,3,0,1,1,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0
114,6,1,2,2,9,5,1,3,4,9,0,0,5,0,0,3,6,2,7,1,2,0,0,3,3,1,0,0,2,4,4,0,3,6,1,3,2,6,5,4,0,1,1,1,3,4,1,3,2,6,0,1,0,0,1,1,3,2,0,1,4,0,2,2,0,0,0,3,3,2,0,0,9,3,1,2,5,0,0,0,2,1,0,1,0,2,2,0,2,1,0,2,0,0,0,0,2,0,0,0
115,3,3,5,4,1,1,6,3,2,0,0,1,0,0,8,1,0,1,4,0,0,0,0,1,1,5,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,2,1,0,0,2,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,2,5,6,1,1,3,1,0,1,4,0,0,0,0,3,1,0,3,4,2,3,0,0,0,0,1,0,0,0,1,4,0,2,3,0,4,2,1,3,2,1,0,0,0,2,2,0,0,0,1,0,1,0,0,0,1,0,7,0,0,2,0,0,1,1,1,1,3,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,4,1,0,0,0,2,0,3,1,5,4
117,1,0,0,8,1,9,1,2,2,8,0,3,0,0,0,3,6,10,6,2,6,0,0,3,3,4,0,1,4,6,3,0,7,3,1,3,3,5,3,3,3,1,4,0,3,4,7,1,0,5,0,1,2,0,7,4,1,0,1,1,1,0,3,5,1,0,0,3,11,0,1,0,11,3,1,0,1,0,6,0,0,0,0,1,0,3,2,1,0,6,0,3,0,4,0,0,3,0,8,0
118,5,5,1,0,4,1,7,1,2,1,0,0,0,1,2,1,0,1,3,1,2,0,0,5,0,3,4,0,0,1,1,0,2,6,0,6,3,0,6,1,1,0,0,1,3,5,3,2,0,1,0,1,2,0,0,1,0,4,3,3,2,0,0,0,0,1,1,3,0,0,1,0,0,4,0,1,2,0,2,1,0,1,0,0,0,2,3,0,1,0,2,0,1,0,1,0,4,0,0,1
119,5,1,0,0,1,5,0,1,4,9,1,1,2,0,0,1,4,1,10,2,2,0,0,0,0,0,0,0,0,6,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0
120,7,9,0,3,1,2,2,7,3,1,15,5,4,14,0,1,2,5,1,11,0,7,10,1,5,0,10,0,3,0,2,1,0,0,0,1,0,2,0,0,3,2,6,6,0,0,2,0,1,0,4,1,4,8,2,1,1,0,0,1,0,2,4,0,0,0,0,0,0,2,2,3,0,0,1,2,0,2,1,0,4,0,4,3,0,0,1,0,0,0,0,0,1,1,2,1,1,0,0,1
121,11,1,4,0,1,2,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,2,0,0,0,0,0,5,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
122,6,4,2,0,1,1,3,5,5,0,0,1,2,2,4,3,0,0,0,0,1,6,1,0,2,0,3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
123,2,0,4,5,7,4,0,0,0,5,0,5,1,0,0,1,1,4,3,1,5,0,0,0,0,0,2,0,2,6,3,0,1,3,0,5,2,0,3,3,0,0,1,0,2,1,1,3,0,2,0,0,1,2,0,2,1,1,4,2,4,0,1,2,1,1,1,3,0,1,0,0,0,0,0,2,4,3,0,0,0,0,0,1,0,2,3,0,2,0,1,0,0,0,0,0,2,6,0,0
124,2,1,6,3,8,3,2,0,1,3,0,0,3,0,13,1,0,1,1,2,1,0,0,0,0,1,0,2,1,3,3,0,0,3,0,1,2,0,3,1,1,0,0,2,1,1,0,5,0,1,0,0,2,0,0,2,1,0,2,1,3,0,1,1,0,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,1,2,0,0
125,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,5,0,8,0,5,1,4,0,1,1,0,0,0,0,0,1,2,3,4,0,3,0,0,2,0,0,0,0,0,1,2,0,3,5,0,3,4,1,5,0,0,1,0,0,2,3,0,0,1,0,0,1,2,0,0,1,1,6,0,2,1,0,0,1,0,1,1,3,0,0,3,2,0,3,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,8,0
127,10,2,2,1,1,1,3,3,1,0,1,0,0,1,2,1,0,0,0,0,0,2,3,1,2,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
128,3,1,3,0,1,0,0,1,0,0,1,0,0,1,0,2,1,4,2,0,3,0,0,0,0,0,1,0,0,1,0,0,5,4,0,5,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,2,1,1,1,0,1,0,0,1,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,1,0,0,0,0,0,3,0,1,0
129,1,0,1,1,3,5,2,2,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,2,1,0,1,0,1,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,22,0,14,9,1,5,0,2,7,3,0,0,1,0,6,1,9,1,3,0,3,0,0,1,0,0,0,9,2,1,2,0,0,7,2,1,3,0,7,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,1,1,0,4,0,2,3,4,2,1,2,1,1,3,0,0,0,1,0,2,0,0,1,0,2,0,1,0,1,0,1,2,3,1,1,2,1,0,2,1,1,5,1,0,4,0
131,4,1,3,1,1,1,2,0,1,0,0,0,0,0,4,1,2,1,2,0,1,0,0,0,0,1,0,3,0,1,0,0,0,3,0,0,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,1,0,3,1,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,1,0,0,0
