articles,bhd,share,million,bank,said,price,market,stock,thi,year,wa,ha,group,malaysia,billion,maybank,research,trade,index,sen,expect,invest,also,compani,us,hold,point,profit,s,high,earn,klci,low,time,growth,net,financi,say,last,per,target,may,level,analyst,would,valuat,cimb,end,note,valu,fbm,close,investor,lower,higher,first,buy,2015,oil,base,declin,manag,busi,rate,daili,includ,2014,quarter,report,sell,kuala,fell,edg,lumpur,month,new,remain,could,today,due,fundament,2016,revenu,recent,like,week,activ,sinc,continu,industri,averag,one,current,rose,capit,support,move,oper,asset,dividend
14,2,0,0,3,2,3,1,1,0,0,0,3,6,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,5,6,5,1,1,1,0,2,1,0,2,0,3,0,0,1,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,1,0,0,1,0,0
16,3,3,5,0,0,3,0,1,2,2,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,4,1,1,1,0,0,6,1,0,0,0,0,1,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
17,1,1,0,0,0,2,0,2,0,2,0,1,3,0,0,2,0,0,1,0,0,0,0,2,0,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
18,5,1,5,1,1,18,2,5,5,6,3,8,5,0,0,1,2,2,0,2,2,1,3,8,6,2,2,1,0,1,3,0,3,2,0,0,0,2,8,3,3,1,1,2,2,0,0,3,0,2,0,0,0,2,1,3,1,0,23,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,2,4,0,2,0,0,0,1,7,6,2,1,0,3,0,0,0,0,1,1,1,0,2,0
19,3,3,0,2,2,0,1,1,0,1,0,2,3,3,1,9,0,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,11,21,16,1,0,5,5,5,2,8,3,5,0,2,3,1,0,5,0,13,0,0,1,0,0,5,0,0,0,2,0,0,2,1,0,1,0,0,6,1,0,1,2,0,3,0,0,1,1,0,0,7,0,0,0,2,0,0,0,1,2,1,1,0,0,1,3,1,0,0,0,0,0,0,2,1,3,0,0,0,0,2,0,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0
21,5,3,3,1,3,0,1,1,0,0,1,1,1,1,0,1,0,3,0,1,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,6,2,2,16,2,2,2,4,1,0,2,2,2,1,0,4,0,0,0,0,8,0,2,0,1,2,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,4,2,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0
23,4,4,1,1,0,0,0,1,2,0,1,2,1,2,2,1,0,1,0,4,0,1,0,0,0,1,3,0,2,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,1,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
