articles,million,bhd,said,share,wa,year,price,petrona,ha,stock,market,sen,compani,oil,group,billion,thi,s,contract,malaysia,profit,trade,research,ga,also,includ,us,expect,today,project,net,revenu,hold,klci,per,end,valu,earn,sdn,quarter,last,kuala,lumpur,develop,valuat,fbm,activ,higher,note,point,may,new,base,time,financi,oper,lower,servic,product,first,fundament,close,investor,due,counter,accord,manag,bank,bursa,would,gain,say,top,gainer,work,fell,secur,2015,31,remain,score,rate,current,construct,rose,industri,report,invest,busi,edg,ad,one,continu,two,unit,high,local,target,index,month
177,0,9,2,3,6,0,1,1,1,2,3,1,0,0,2,3,0,1,0,0,0,2,1,0,3,0,2,0,4,0,0,0,0,3,0,1,0,0,0,3,0,2,2,1,0,1,1,4,0,3,1,0,0,1,0,0,0,0,0,2,0,4,0,0,2,0,3,1,0,0,1,0,2,3,0,0,0,0,0,1,0,1,0,0,0,1,3,1,0,0,0,0,0,1,1,2,1,0,5,0
178,0,2,3,4,0,1,6,1,4,1,0,1,1,1,0,1,1,0,2,1,0,0,4,0,1,0,0,1,1,0,0,0,1,1,2,0,0,1,0,0,0,1,1,0,2,0,0,0,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,4,0,0
179,0,1,2,2,2,0,5,3,1,3,0,2,1,1,0,0,0,1,0,0,1,0,3,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,3,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
180,2,23,2,3,3,0,0,2,0,3,1,0,0,1,3,0,0,3,0,3,0,2,1,1,0,3,0,0,1,0,0,0,5,3,0,0,1,0,0,0,0,1,1,0,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,0
181,26,18,1,14,1,11,3,2,4,2,2,8,4,3,5,6,1,3,0,6,7,0,1,4,7,3,0,0,3,1,5,7,13,0,3,4,3,3,5,4,6,2,2,3,8,0,2,2,1,0,6,1,4,0,1,2,6,3,4,3,8,0,0,2,0,0,0,0,3,2,1,0,0,0,2,1,3,4,4,1,3,0,2,3,1,0,0,2,2,1,1,2,0,1,0,0,0,0,0,2
182,2,2,0,3,0,2,0,3,0,1,1,3,1,0,1,3,0,1,0,1,2,0,1,11,2,0,0,2,2,0,1,6,0,0,0,2,1,0,0,1,0,1,1,0,3,0,0,5,1,0,1,1,2,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
183,31,20,4,10,4,20,5,2,11,2,2,7,2,1,8,11,4,2,2,6,9,0,1,1,4,1,1,3,1,3,10,7,3,0,6,10,6,5,6,15,3,2,2,11,12,0,0,4,1,0,7,3,3,1,3,2,3,1,0,8,14,0,0,4,0,0,0,0,0,0,0,0,1,0,1,2,3,14,11,2,3,0,1,1,2,0,1,0,5,2,0,0,0,2,3,0,0,1,1,2
184,7,1,5,2,8,5,5,4,0,1,2,2,2,1,4,3,1,2,0,0,6,0,1,1,1,2,1,1,1,0,1,1,0,0,2,2,1,0,0,4,3,1,1,0,2,0,0,2,1,0,2,0,2,0,1,5,8,0,0,1,3,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,1,3,0,1,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0
185,30,17,18,19,5,12,2,2,5,1,4,7,13,0,8,6,3,6,2,6,12,1,1,3,4,1,1,5,2,6,8,10,4,0,3,5,3,1,5,7,2,2,2,0,10,0,0,6,2,0,2,0,3,0,4,13,6,1,1,3,10,0,1,3,0,2,3,3,1,2,0,0,0,0,0,3,0,3,2,1,3,0,3,0,1,2,1,3,6,1,1,5,2,1,5,0,1,0,0,2
186,0,1,4,1,3,3,0,4,0,1,1,1,2,0,0,5,0,2,0,0,1,0,1,5,1,0,0,2,2,2,0,0,0,0,0,3,1,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,2,0,1,4,0,0,0,1,3,0,0,0,0,2,1,0,0,3,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
