articles,bhd,said,million,share,year,price,cimb,thi,ha,market,wa,stock,bank,group,malaysia,research,billion,compani,expect,hold,also,s,profit,sen,earn,net,invest,trade,target,last,financi,us,growth,per,note,higher,would,analyst,say,time,today,point,may,manag,base,new,oil,end,valuat,first,rate,kuala,quarter,valu,investor,lumpur,fund,revenu,index,could,2015,due,high,edg,lower,declin,report,busi,close,asset,increas,klci,develop,sale,oper,fundament,project,sector,posit,week,product,current,remain,capit,maintain,call,month,one,cost,howev,2014,top,rose,industri,continu,fell,hous,like,secur,strong
683,2,6,7,1,3,1,1,1,2,0,2,3,1,4,0,5,7,0,4,0,4,0,2,1,0,2,1,1,1,0,0,0,0,0,1,1,0,1,1,0,2,0,0,1,0,1,0,3,0,0,1,1,1,0,0,1,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,6,0,2,0,0,1,0,0,2,2,0,0,2,0,2,0,0,0,1,0,3,0,0,1
684,1,6,1,3,0,2,3,2,0,0,1,2,1,1,0,3,1,0,0,2,2,0,0,4,0,0,1,1,1,0,0,0,0,2,2,0,5,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1,1,0,1,1,0,2,1,0,0,0,1,0,1,1,0,0,1,2,1,0,0
685,1,6,1,3,0,2,3,2,0,0,1,2,1,1,0,3,1,0,0,2,2,0,0,4,0,0,1,1,1,0,0,0,0,2,2,0,5,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1,1,0,1,1,0,2,1,0,0,0,1,0,1,1,0,0,1,2,1,0,0
686,3,6,0,2,0,3,2,0,0,0,0,1,1,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1
687,6,0,1,2,0,0,1,1,0,3,5,3,0,1,1,5,4,0,0,0,3,0,0,1,0,2,0,1,2,1,1,3,0,1,0,6,0,0,0,0,1,6,2,0,0,2,1,1,0,1,0,1,0,0,0,1,2,0,3,0,0,0,1,1,1,0,2,0,6,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0
688,3,2,0,2,1,0,3,0,1,0,0,1,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
689,2,5,6,1,1,2,1,2,2,0,1,7,1,0,0,3,0,0,0,2,1,0,2,1,1,2,1,3,1,1,0,0,0,2,2,0,1,5,0,3,4,0,2,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,3,0
690,2,5,6,1,1,2,1,2,2,0,1,7,1,0,0,3,0,0,0,2,1,0,2,1,1,2,1,3,1,1,0,0,0,2,2,0,1,5,0,3,4,0,2,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,3,0
691,5,0,1,4,2,6,1,3,1,0,3,1,0,3,0,1,5,1,0,2,2,0,0,3,0,0,0,0,5,2,1,0,1,3,0,0,1,0,0,2,0,0,0,3,0,0,3,0,1,2,0,0,1,3,1,0,2,0,0,0,2,1,0,1,0,0,0,2,0,4,0,0,1,0,1,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,2,0,0,1,0,0,0,2,0,0
692,1,3,1,0,0,2,2,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
